year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3705.00,388.00,96.28,29.68,101.87,0.00,160.18,12.00,4.00,30500.00,10300.00,2853.00,4638.00,0.00,12709.00
2021,12,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",718.00,130.00,60.90,0.00,19.44,1.87,47.79,1.00,0.00,10649.00,4739.00,0.00,556.00,42.00,5312.00
2021,12,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",92.00,29.00,11.08,2.59,9.42,0.00,5.91,5.00,0.00,1837.00,643.00,196.00,557.00,0.00,441.00
2021,12,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",216.00,78.00,51.26,0.00,10.47,0.00,16.28,8.00,0.00,5350.00,3777.00,0.00,380.00,0.00,1193.00
2021,12,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",16475.00,2205.00,834.10,71.88,442.18,2.82,854.01,291.00,12.00,163565.00,82981.00,8857.00,16367.00,91.00,55269.00
2021,12,F9,Frontier Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",591.00,157.00,56.43,0.26,34.48,0.00,65.83,18.00,0.00,11857.00,5494.00,20.00,1560.00,0.00,4783.00
2021,12,MQ,Envoy Air,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",64.00,7.00,2.43,0.33,2.26,0.00,1.98,0.00,0.00,326.00,110.00,7.00,79.00,0.00,130.00
2021,12,NK,Spirit Air Lines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",745.00,184.00,55.79,3.01,56.15,3.79,65.26,23.00,0.00,11199.00,3970.00,170.00,2328.00,101.00,4630.00
2021,12,OH,PSA Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",98.00,13.00,4.19,0.00,3.91,0.00,4.90,1.00,0.00,576.00,236.00,0.00,117.00,0.00,223.00
2021,12,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",120.00,27.00,22.00,3.00,1.00,0.00,1.00,4.00,1.00,1567.00,1205.00,156.00,57.00,0.00,149.00
2021,12,UA,United Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",203.00,53.00,25.33,0.00,6.30,0.00,21.38,10.00,0.00,3875.00,1448.00,0.00,248.00,0.00,2179.00
2021,12,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2496.00,533.00,214.51,2.00,53.77,2.60,260.12,16.00,3.00,26494.00,10520.00,78.00,1830.00,74.00,13992.00
2021,12,YV,Mesa Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",167.00,31.00,26.00,0.00,3.00,0.00,2.00,2.00,0.00,3508.00,3292.00,0.00,82.00,0.00,134.00
2021,12,YX,Republic Airline,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",598.00,87.00,43.87,8.06,22.62,0.00,12.46,1.00,1.00,4072.00,2466.00,391.00,606.00,0.00,609.00
2021,11,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3339.00,245.00,110.41,7.42,64.90,1.00,61.27,3.00,0.00,17197.00,10705.00,671.00,2016.00,15.00,3790.00
2021,11,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",765.00,135.00,67.49,0.00,17.60,0.00,49.91,8.00,1.00,7275.00,3156.00,0.00,613.00,0.00,3506.00
2021,11,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",90.00,15.00,6.63,0.00,4.62,0.00,3.75,0.00,0.00,672.00,262.00,0.00,133.00,0.00,277.00
2021,11,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",217.00,73.00,39.01,1.97,14.81,2.37,14.83,0.00,0.00,4340.00,2622.00,111.00,545.00,139.00,923.00
2021,11,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",16992.00,1387.00,522.72,23.90,394.35,5.04,440.99,5.00,0.00,80813.00,41165.00,2180.00,13189.00,402.00,23877.00
2021,11,F9,Frontier Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",572.00,133.00,47.32,1.57,36.65,0.00,47.46,2.00,1.00,7224.00,1943.00,73.00,1354.00,0.00,3854.00
2021,11,MQ,Envoy Air,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",106.00,13.00,3.94,0.40,4.21,0.00,4.45,0.00,0.00,501.00,116.00,21.00,209.00,0.00,155.00
2021,11,NK,Spirit Air Lines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",817.00,161.00,41.62,0.00,71.57,5.43,42.38,10.00,0.00,9217.00,2598.00,0.00,3402.00,377.00,2840.00
2021,11,OH,PSA Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",92.00,6.00,1.24,0.00,0.45,1.00,3.31,0.00,0.00,201.00,22.00,0.00,13.00,72.00,94.00
2021,11,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",93.00,12.00,9.00,0.00,1.00,0.00,2.00,1.00,0.00,653.00,399.00,0.00,44.00,0.00,210.00
2021,11,UA,United Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",226.00,43.00,22.07,0.00,6.42,0.00,14.50,2.00,0.00,2651.00,1336.00,0.00,275.00,0.00,1040.00
2021,11,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2540.00,409.00,176.97,2.31,30.43,3.33,195.96,9.00,1.00,15402.00,6552.00,154.00,1138.00,71.00,7487.00
2021,11,YV,Mesa Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",170.00,27.00,21.00,0.00,4.00,1.00,1.00,4.00,0.00,2477.00,2135.00,0.00,244.00,24.00,74.00
2021,11,YX,Republic Airline,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",583.00,63.00,25.12,0.92,15.60,0.83,20.53,2.00,0.00,2879.00,1177.00,21.00,557.00,30.00,1094.00
2021,10,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",4626.00,414.00,143.13,13.30,108.32,0.00,149.24,0.00,3.00,29440.00,15021.00,1138.00,3650.00,0.00,9631.00
2021,10,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",713.00,141.00,66.15,0.95,21.06,1.30,51.54,32.00,0.00,10559.00,4838.00,65.00,1265.00,49.00,4342.00
2021,10,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",87.00,18.00,4.18,0.67,8.85,0.00,4.30,0.00,0.00,787.00,310.00,66.00,261.00,0.00,150.00
2021,10,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",249.00,42.00,18.69,0.17,9.56,2.11,11.46,0.00,0.00,2337.00,1074.00,14.00,426.00,59.00,764.00
2021,10,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",16824.00,1587.00,574.48,42.63,415.89,4.00,550.00,9.00,5.00,107461.00,52778.00,3531.00,15731.00,161.00,35260.00
2021,10,F9,Frontier Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",608.00,112.00,47.28,2.98,25.50,0.00,36.25,7.00,0.00,8145.00,3514.00,129.00,1239.00,0.00,3263.00
2021,10,MQ,Envoy Air,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",69.00,6.00,1.67,0.86,3.45,0.00,0.03,1.00,1.00,193.00,58.00,36.00,98.00,0.00,1.00
2021,10,NK,Spirit Air Lines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",769.00,125.00,45.50,1.74,40.38,3.41,33.97,8.00,0.00,7880.00,3000.00,116.00,2055.00,126.00,2583.00
2021,10,OH,PSA Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",111.00,13.00,3.63,1.05,2.52,0.00,5.81,1.00,0.00,755.00,145.00,23.00,65.00,0.00,522.00
2021,10,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",63.00,8.00,7.00,1.00,0.00,0.00,0.00,0.00,0.00,244.00,210.00,34.00,0.00,0.00,0.00
2021,10,UA,United Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",397.00,45.00,22.14,1.78,12.00,0.00,9.08,2.00,0.00,2472.00,1381.00,137.00,430.00,0.00,524.00
2021,10,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2712.00,623.00,256.56,3.49,60.60,0.00,302.35,95.00,1.00,31268.00,11695.00,266.00,2573.00,0.00,16734.00
2021,10,YV,Mesa Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",163.00,36.00,31.00,0.00,1.00,0.00,4.00,1.00,0.00,4851.00,4685.00,0.00,41.00,0.00,125.00
2021,10,YX,Republic Airline,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",587.00,72.00,27.44,1.29,30.64,0.00,12.63,6.00,2.00,4044.00,2055.00,93.00,904.00,0.00,992.00
2021,9,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3883.00,256.00,104.26,15.81,65.49,0.00,70.44,2.00,0.00,18423.00,9883.00,1227.00,2125.00,0.00,5188.00
2021,9,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",626.00,98.00,43.82,0.76,18.85,2.06,32.51,3.00,0.00,5435.00,2402.00,15.00,627.00,80.00,2311.00
2021,9,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",60.00,17.00,3.53,0.00,5.84,0.00,7.63,0.00,0.00,645.00,133.00,0.00,234.00,0.00,278.00
2021,9,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",203.00,44.00,28.84,0.50,4.45,0.00,10.21,9.00,0.00,3074.00,1987.00,12.00,255.00,0.00,820.00
2021,9,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",16606.00,1307.00,541.30,39.85,294.52,5.96,425.37,46.00,4.00,86266.00,47519.00,3506.00,9260.00,268.00,25713.00
2021,9,F9,Frontier Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",606.00,122.00,52.53,1.34,32.18,0.00,35.95,7.00,0.00,7654.00,3807.00,55.00,1170.00,0.00,2622.00
2021,9,MQ,Envoy Air,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",99.00,13.00,1.26,2.93,5.86,0.00,2.96,0.00,0.00,567.00,38.00,193.00,253.00,0.00,83.00
2021,9,NK,Spirit Air Lines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",766.00,109.00,37.92,4.99,40.59,4.58,20.92,12.00,0.00,7525.00,2334.00,337.00,3217.00,224.00,1413.00
2021,9,OH,PSA Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",91.00,6.00,0.93,0.00,2.38,0.00,2.69,1.00,0.00,183.00,29.00,0.00,60.00,0.00,94.00
2021,9,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",65.00,4.00,2.00,1.00,0.00,0.00,1.00,1.00,0.00,308.00,59.00,110.00,0.00,0.00,139.00
2021,9,UA,United Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",280.00,43.00,23.07,0.75,11.71,0.00,7.47,4.00,0.00,1922.00,917.00,18.00,656.00,0.00,331.00
2021,9,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2619.00,365.00,147.59,5.57,44.75,1.96,165.13,53.00,0.00,17211.00,6688.00,324.00,1892.00,62.00,8245.00
2021,9,YV,Mesa Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",133.00,17.00,6.00,2.00,6.00,0.00,3.00,2.00,0.00,923.00,522.00,118.00,156.00,0.00,127.00
2021,9,YX,Republic Airline,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",621.00,66.00,28.72,1.48,13.94,0.30,21.55,8.00,0.00,5551.00,3007.00,267.00,509.00,12.00,1756.00
2021,8,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",4109.00,455.00,133.07,39.71,146.17,0.00,136.05,23.00,12.00,33385.00,16065.00,2088.00,5578.00,0.00,9654.00
2021,8,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",686.00,190.00,85.65,13.13,40.13,0.00,51.09,25.00,2.00,11979.00,4999.00,1031.00,1904.00,0.00,4045.00
2021,8,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",62.00,17.00,3.03,0.00,7.24,0.00,6.73,0.00,1.00,495.00,81.00,0.00,223.00,0.00,191.00
