year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",115.00,8.00,4.67,0.00,2.60,0.00,0.73,0.00,0.00,421.00,282.00,0.00,79.00,0.00,60.00
2021,12,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",715.00,107.00,42.97,1.25,19.98,0.00,42.80,5.00,1.00,6682.00,2794.00,62.00,647.00,0.00,3179.00
2021,12,AS,Alaska Airlines Inc.,BNA,"Nashville, TN: Nashville International",31.00,6.00,2.14,1.23,1.46,0.00,1.18,1.00,0.00,487.00,65.00,173.00,139.00,0.00,110.00
2021,12,B6,JetBlue Airways,BNA,"Nashville, TN: Nashville International",97.00,26.00,14.23,0.00,8.77,0.00,3.01,4.00,0.00,1257.00,778.00,0.00,303.00,0.00,176.00
2021,12,DL,Delta Air Lines Inc.,BNA,"Nashville, TN: Nashville International",530.00,91.00,40.45,8.10,17.63,0.00,24.82,11.00,0.00,4663.00,2290.00,598.00,521.00,0.00,1254.00
2021,12,F9,Frontier Airlines Inc.,BNA,"Nashville, TN: Nashville International",76.00,19.00,6.04,0.00,4.42,0.00,8.54,2.00,0.00,1207.00,241.00,0.00,208.00,0.00,758.00
2021,12,G4,Allegiant Air,BNA,"Nashville, TN: Nashville International",183.00,61.00,11.83,0.36,10.89,0.83,37.08,7.00,0.00,4051.00,762.00,33.00,738.00,30.00,2488.00
2021,12,MQ,Envoy Air,BNA,"Nashville, TN: Nashville International",94.00,17.00,4.11,0.00,5.72,0.00,7.18,1.00,0.00,776.00,149.00,0.00,134.00,0.00,493.00
2021,12,NK,Spirit Air Lines,BNA,"Nashville, TN: Nashville International",172.00,36.00,16.12,0.33,12.40,1.00,6.15,13.00,0.00,1802.00,897.00,7.00,472.00,19.00,407.00
2021,12,OH,PSA Airlines Inc.,BNA,"Nashville, TN: Nashville International",123.00,26.00,10.42,0.00,5.16,0.00,10.42,1.00,0.00,2138.00,862.00,0.00,243.00,0.00,1033.00
2021,12,OO,SkyWest Airlines Inc.,BNA,"Nashville, TN: Nashville International",443.00,95.00,63.00,6.00,1.00,0.00,25.00,6.00,1.00,7168.00,3707.00,518.00,80.00,0.00,2863.00
2021,12,UA,United Air Lines Inc.,BNA,"Nashville, TN: Nashville International",221.00,51.00,22.06,0.00,4.79,0.00,24.15,11.00,0.00,3372.00,1179.00,0.00,212.00,0.00,1981.00
2021,12,WN,Southwest Airlines Co.,BNA,"Nashville, TN: Nashville International",3292.00,725.00,284.65,3.37,75.15,1.41,360.43,14.00,1.00,35789.00,13492.00,166.00,2786.00,44.00,19301.00
2021,12,YV,Mesa Airlines Inc.,BNA,"Nashville, TN: Nashville International",104.00,16.00,12.00,0.00,4.00,0.00,0.00,1.00,0.00,1675.00,1585.00,0.00,90.00,0.00,0.00
