year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",249.00,18.00,7.37,0.00,2.14,0.00,8.49,1.00,0.00,1784.00,875.00,0.00,111.00,0.00,798.00
2021,12,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1732.00,195.00,83.64,0.00,29.63,0.89,80.84,7.00,0.00,12775.00,5761.00,0.00,810.00,16.00,6188.00
2021,12,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",144.00,21.00,10.38,4.25,4.62,0.00,1.76,4.00,0.00,1729.00,802.00,492.00,237.00,0.00,198.00
2021,12,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",3077.00,640.00,289.92,3.44,95.28,1.03,250.33,131.00,8.00,51828.00,24749.00,387.00,3619.00,31.00,23042.00
2021,12,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",1382.00,183.00,95.66,3.43,32.22,0.00,51.70,26.00,1.00,14632.00,8850.00,515.00,1091.00,0.00,4176.00
2021,12,F9,Frontier Airlines Inc.,BOS,"Boston, MA: Logan International",35.00,8.00,3.67,0.00,4.04,0.00,0.29,1.00,0.00,445.00,213.00,0.00,212.00,0.00,20.00
2021,12,G4,Allegiant Air,BOS,"Boston, MA: Logan International",46.00,5.00,2.38,0.00,2.63,0.00,0.00,6.00,0.00,180.00,103.00,0.00,77.00,0.00,0.00
2021,12,HA,Hawaiian Airlines Inc.,BOS,"Boston, MA: Logan International",25.00,7.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,368.00,368.00,0.00,0.00,0.00,0.00
2021,12,MQ,Envoy Air,BOS,"Boston, MA: Logan International",58.00,5.00,1.00,1.07,0.33,0.00,2.60,1.00,0.00,317.00,26.00,24.00,53.00,0.00,214.00
2021,12,NK,Spirit Air Lines,BOS,"Boston, MA: Logan International",300.00,52.00,17.52,0.00,14.11,0.50,19.87,11.00,0.00,2911.00,973.00,0.00,582.00,19.00,1337.00
2021,12,OO,SkyWest Airlines Inc.,BOS,"Boston, MA: Logan International",21.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,36.00,0.00,0.00,0.00,0.00
2021,12,UA,United Air Lines Inc.,BOS,"Boston, MA: Logan International",847.00,145.00,78.11,0.00,8.31,0.00,58.58,17.00,0.00,12240.00,5539.00,0.00,308.00,0.00,6393.00
2021,12,WN,Southwest Airlines Co.,BOS,"Boston, MA: Logan International",351.00,70.00,35.23,0.00,1.10,0.00,33.67,2.00,0.00,2958.00,1246.00,0.00,47.00,0.00,1665.00
2021,12,YX,Republic Airline,BOS,"Boston, MA: Logan International",1629.00,141.00,68.67,4.10,46.72,0.12,21.39,0.00,1.00,7648.00,4350.00,371.00,1493.00,2.00,1432.00
2021,11,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",256.00,19.00,9.25,2.00,1.86,0.00,5.89,0.00,0.00,1363.00,800.00,75.00,109.00,0.00,379.00
2021,11,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1847.00,267.00,106.56,2.62,52.51,2.95,102.37,33.00,1.00,15425.00,6544.00,151.00,1625.00,126.00,6979.00
2021,11,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",151.00,22.00,10.63,0.00,6.24,0.00,5.13,0.00,0.00,1014.00,580.00,0.00,237.00,0.00,197.00
2021,11,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",2984.00,457.00,231.87,3.98,106.43,2.18,112.53,5.00,1.00,31375.00,17611.00,256.00,4780.00,79.00,8649.00
2021,11,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",1486.00,144.00,63.06,3.12,46.21,1.00,30.61,0.00,3.00,9585.00,4280.00,890.00,2140.00,238.00,2037.00
2021,11,F9,Frontier Airlines Inc.,BOS,"Boston, MA: Logan International",28.00,5.00,2.08,0.00,2.92,0.00,0.00,0.00,0.00,194.00,128.00,0.00,66.00,0.00,0.00
2021,11,G4,Allegiant Air,BOS,"Boston, MA: Logan International",51.00,13.00,5.77,0.00,7.23,0.00,0.00,0.00,0.00,589.00,408.00,0.00,181.00,0.00,0.00
2021,11,HA,Hawaiian Airlines Inc.,BOS,"Boston, MA: Logan International",20.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,22.00,0.00,0.00,0.00,0.00
2021,11,MQ,Envoy Air,BOS,"Boston, MA: Logan International",53.00,8.00,6.00,0.00,2.00,0.00,0.00,0.00,0.00,322.00,237.00,0.00,85.00,0.00,0.00
2021,11,NK,Spirit Air Lines,BOS,"Boston, MA: Logan International",274.00,42.00,17.97,1.00,12.50,2.37,8.16,2.00,0.00,1972.00,1037.00,20.00,506.00,87.00,322.00
2021,11,OO,SkyWest Airlines Inc.,BOS,"Boston, MA: Logan International",54.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,727.00,727.00,0.00,0.00,0.00,0.00
2021,11,UA,United Air Lines Inc.,BOS,"Boston, MA: Logan International",913.00,119.00,46.94,2.00,24.49,0.00,45.57,4.00,2.00,6932.00,2264.00,146.00,1089.00,0.00,3433.00
2021,11,WN,Southwest Airlines Co.,BOS,"Boston, MA: Logan International",369.00,64.00,31.27,0.32,3.55,1.00,27.86,1.00,0.00,3249.00,1555.00,6.00,261.00,20.00,1407.00
2021,11,YV,Mesa Airlines Inc.,BOS,"Boston, MA: Logan International",6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,11,YX,Republic Airline,BOS,"Boston, MA: Logan International",1671.00,181.00,85.29,2.60,77.34,0.00,15.77,1.00,0.00,9609.00,5193.00,513.00,2837.00,0.00,1066.00
2021,10,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",262.00,29.00,13.08,0.00,7.66,0.00,8.26,0.00,0.00,2777.00,1636.00,0.00,233.00,0.00,908.00
2021,10,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1392.00,235.00,98.43,2.74,57.98,0.13,75.72,40.00,1.00,15398.00,5954.00,123.00,1962.00,7.00,7352.00
2021,10,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",151.00,34.00,11.32,1.00,17.53,0.00,4.15,3.00,0.00,1691.00,967.00,30.00,587.00,0.00,107.00
2021,10,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",2861.00,492.00,208.68,10.32,94.44,0.32,178.23,13.00,5.00,34250.00,14840.00,1866.00,4656.00,14.00,12874.00
2021,10,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",1418.00,192.00,85.40,1.95,69.04,0.00,35.62,2.00,1.00,13167.00,6936.00,187.00,3309.00,0.00,2735.00
2021,10,F9,Frontier Airlines Inc.,BOS,"Boston, MA: Logan International",30.00,6.00,5.11,0.00,0.89,0.00,0.00,0.00,0.00,454.00,382.00,0.00,72.00,0.00,0.00
2021,10,G4,Allegiant Air,BOS,"Boston, MA: Logan International",54.00,16.00,2.90,0.97,11.98,0.14,0.00,0.00,0.00,711.00,284.00,113.00,310.00,4.00,0.00
2021,10,HA,Hawaiian Airlines Inc.,BOS,"Boston, MA: Logan International",18.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,24.00,0.00,0.00,0.00,0.00
2021,10,MQ,Envoy Air,BOS,"Boston, MA: Logan International",75.00,10.00,2.10,0.32,5.25,0.00,2.33,1.00,0.00,340.00,69.00,27.00,170.00,0.00,74.00
2021,10,NK,Spirit Air Lines,BOS,"Boston, MA: Logan International",238.00,35.00,16.56,1.00,12.58,0.87,3.99,4.00,0.00,2632.00,1478.00,32.00,775.00,38.00,309.00
2021,10,OO,SkyWest Airlines Inc.,BOS,"Boston, MA: Logan International",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,10,UA,United Air Lines Inc.,BOS,"Boston, MA: Logan International",943.00,153.00,49.37,7.03,35.47,0.00,61.13,10.00,0.00,10258.00,3374.00,704.00,1619.00,0.00,4561.00
2021,10,WN,Southwest Airlines Co.,BOS,"Boston, MA: Logan International",469.00,134.00,62.41,0.27,14.56,1.72,55.03,14.00,0.00,6047.00,2754.00,23.00,546.00,76.00,2648.00
2021,10,YV,Mesa Airlines Inc.,BOS,"Boston, MA: Logan International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,10,YX,Republic Airline,BOS,"Boston, MA: Logan International",1871.00,152.00,70.92,4.17,49.36,1.00,26.55,3.00,0.00,7764.00,4284.00,125.00,1547.00,18.00,1790.00
2021,9,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",80.00,5.00,4.94,0.00,0.06,0.00,0.00,0.00,0.00,221.00,216.00,0.00,5.00,0.00,0.00
2021,9,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1298.00,185.00,69.11,7.88,47.58,2.17,58.26,6.00,2.00,13371.00,5588.00,368.00,2355.00,52.00,5008.00
2021,9,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",164.00,26.00,10.27,0.00,12.20,0.00,3.53,1.00,0.00,914.00,368.00,0.00,326.00,0.00,220.00
2021,9,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",2670.00,457.00,190.36,11.88,106.88,0.00,147.88,49.00,6.00,38947.00,18439.00,651.00,6180.00,0.00,13677.00
2021,9,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",1208.00,127.00,54.66,2.81,43.00,0.00,26.53,2.00,0.00,7548.00,3864.00,136.00,1747.00,0.00,1801.00
2021,9,F9,Frontier Airlines Inc.,BOS,"Boston, MA: Logan International",26.00,3.00,2.58,0.00,0.42,0.00,0.00,0.00,0.00,78.00,63.00,0.00,15.00,0.00,0.00
2021,9,G4,Allegiant Air,BOS,"Boston, MA: Logan International",51.00,4.00,0.70,0.00,3.30,0.00,0.00,0.00,0.00,217.00,78.00,0.00,139.00,0.00,0.00
2021,9,HA,Hawaiian Airlines Inc.,BOS,"Boston, MA: Logan International",18.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,34.00,0.00,0.00,0.00,0.00
2021,9,MQ,Envoy Air,BOS,"Boston, MA: Logan International",16.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,39.00,0.00,0.00,39.00,0.00,0.00
2021,9,NK,Spirit Air Lines,BOS,"Boston, MA: Logan International",264.00,55.00,16.68,5.32,22.79,0.00,10.21,2.00,0.00,3629.00,1187.00,315.00,1181.00,0.00,946.00
2021,9,UA,United Air Lines Inc.,BOS,"Boston, MA: Logan International",792.00,123.00,46.02,2.26,37.69,0.00,37.03,10.00,1.00,6651.00,2220.00,245.00,1243.00,0.00,2943.00
2021,9,WN,Southwest Airlines Co.,BOS,"Boston, MA: Logan International",444.00,93.00,54.29,1.00,12.07,0.83,24.82,12.00,1.00,4013.00,2410.00,15.00,473.00,19.00,1096.00
2021,9,YX,Republic Airline,BOS,"Boston, MA: Logan International",1863.00,168.00,82.52,6.59,40.04,0.03,38.82,24.00,2.00,14345.00,6396.00,1996.00,2134.00,4.00,3815.00
2021,8,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",78.00,8.00,2.59,1.77,0.58,0.00,3.06,0.00,0.00,407.00,103.00,93.00,10.00,0.00,201.00
2021,8,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1415.00,306.00,119.33,17.07,66.31,0.06,103.22,49.00,1.00,21734.00,7479.00,1933.00,2715.00,2.00,9605.00
2021,8,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",157.00,49.00,22.45,0.00,18.35,0.00,8.20,0.00,0.00,2079.00,1181.00,0.00,540.00,0.00,358.00
2021,8,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",2764.00,612.00,260.19,31.46,107.86,6.00,206.49,44.00,7.00,42914.00,18346.00,3169.00,4112.00,194.00,17093.00
2021,8,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",1249.00,196.00,92.26,8.68,35.45,0.00,59.62,1.00,0.00,14201.00,8110.00,515.00,1202.00,0.00,4374.00
2021,8,F9,Frontier Airlines Inc.,BOS,"Boston, MA: Logan International",39.00,12.00,7.12,0.00,3.93,0.00,0.95,2.00,0.00,750.00,352.00,0.00,186.00,0.00,212.00
2021,8,G4,Allegiant Air,BOS,"Boston, MA: Logan International",59.00,10.00,5.58,0.00,4.42,0.00,0.00,2.00,0.00,779.00,602.00,0.00,177.00,0.00,0.00
2021,8,HA,Hawaiian Airlines Inc.,BOS,"Boston, MA: Logan International",22.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,19.00,0.00,0.00,0.00,0.00
2021,8,MQ,Envoy Air,BOS,"Boston, MA: Logan International",11.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,48.00,0.00,0.00,21.00,0.00,27.00
2021,8,NK,Spirit Air Lines,BOS,"Boston, MA: Logan International",324.00,81.00,32.68,6.26,22.01,1.96,18.10,54.00,1.00,5557.00,1940.00,310.00,1568.00,57.00,1682.00
2021,8,UA,United Air Lines Inc.,BOS,"Boston, MA: Logan International",775.00,210.00,59.78,17.03,67.36,0.00,65.84,20.00,1.00,13912.00,3756.00,2084.00,2697.00,0.00,5375.00
2021,8,WN,Southwest Airlines Co.,BOS,"Boston, MA: Logan International",515.00,183.00,108.32,3.50,13.11,0.00,58.06,26.00,1.00,10522.00,5300.00,447.00,780.00,0.00,3995.00
2021,8,YX,Republic Airline,BOS,"Boston, MA: Logan International",1654.00,256.00,133.75,9.35,62.19,0.27,50.43,25.00,2.00,19765.00,10342.00,1945.00,2906.00,8.00,4564.00
2021,7,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",84.00,5.00,1.02,2.00,0.02,0.00,1.96,2.00,1.00,738.00,56.00,162.00,6.00,0.00,514.00
2021,7,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1365.00,361.00,135.72,27.28,72.96,1.90,123.14,15.00,2.00,27933.00,10121.00,2387.00,4223.00,75.00,11127.00
2021,7,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",147.00,25.00,11.01,1.05,11.37,0.00,1.58,0.00,0.00,763.00,316.00,58.00,350.00,0.00,39.00
2021,7,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",2685.00,860.00,371.68,17.06,142.92,1.44,326.90,35.00,19.00,73422.00,31587.00,1358.00,8476.00,82.00,31919.00
2021,7,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",1198.00,205.00,88.55,9.90,45.75,2.52,58.28,1.00,2.00,13777.00,5797.00,561.00,1876.00,395.00,5148.00
2021,7,F9,Frontier Airlines Inc.,BOS,"Boston, MA: Logan International",39.00,6.00,4.77,0.00,1.23,0.00,0.00,3.00,0.00,339.00,311.00,0.00,28.00,0.00,0.00
2021,7,G4,Allegiant Air,BOS,"Boston, MA: Logan International",63.00,17.00,4.80,2.14,9.07,0.00,1.00,1.00,0.00,711.00,282.00,95.00,317.00,0.00,17.00
2021,7,HA,Hawaiian Airlines Inc.,BOS,"Boston, MA: Logan International",23.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,187.00,187.00,0.00,0.00,0.00,0.00
