year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",59.00,3.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,74.00,28.00,0.00,27.00,0.00,19.00
2021,12,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",277.00,53.00,22.76,0.00,7.48,0.95,21.81,3.00,0.00,3599.00,1432.00,0.00,311.00,100.00,1756.00
2021,12,AS,Alaska Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",31.00,3.00,1.00,0.80,0.20,0.00,1.00,7.00,0.00,606.00,107.00,386.00,94.00,0.00,19.00
2021,12,DL,Delta Air Lines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",440.00,51.00,29.37,1.98,11.05,0.00,8.60,13.00,1.00,2445.00,1649.00,110.00,311.00,0.00,375.00
2021,12,F9,Frontier Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",108.00,54.00,24.89,0.00,16.62,0.00,12.49,1.00,0.00,2111.00,808.00,0.00,563.00,0.00,740.00
2021,12,G4,Allegiant Air,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",35.00,7.00,2.60,0.00,0.45,0.00,3.95,1.00,0.00,700.00,305.00,0.00,82.00,0.00,313.00
2021,12,MQ,Envoy Air,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",43.00,7.00,3.82,0.00,2.17,0.00,1.02,0.00,0.00,235.00,168.00,0.00,36.00,0.00,31.00
2021,12,NK,Spirit Air Lines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",511.00,95.00,42.28,1.72,24.81,1.81,24.37,28.00,0.00,6035.00,2696.00,99.00,1189.00,52.00,1999.00
2021,12,OH,PSA Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",75.00,8.00,2.97,0.00,1.05,0.00,3.98,0.00,0.00,333.00,84.00,0.00,27.00,0.00,222.00
2021,12,OO,SkyWest Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",52.00,6.00,2.00,0.00,0.00,0.00,4.00,4.00,0.00,381.00,66.00,0.00,0.00,0.00,315.00
2021,12,UA,United Air Lines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",239.00,28.00,12.26,0.00,3.03,0.00,12.71,9.00,0.00,1482.00,531.00,0.00,70.00,0.00,881.00
2021,12,WN,Southwest Airlines Co.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4748.00,912.00,342.19,2.64,148.23,1.92,417.01,29.00,1.00,40781.00,15763.00,174.00,4555.00,75.00,20214.00
2021,12,YV,Mesa Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",11.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,40.00,40.00,0.00,0.00,0.00,0.00
2021,12,YX,Republic Airline,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",115.00,13.00,2.83,0.00,5.90,0.00,4.27,0.00,0.00,554.00,113.00,0.00,163.00,0.00,278.00
2021,11,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",62.00,6.00,0.00,0.34,2.66,0.00,3.00,0.00,0.00,400.00,0.00,13.00,60.00,0.00,327.00
2021,11,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",297.00,48.00,23.99,0.00,7.04,1.07,15.90,3.00,2.00,2632.00,1199.00,0.00,226.00,52.00,1155.00
