year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",92.00,4.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,123.00,60.00,0.00,63.00,0.00,0.00
2021,12,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",7827.00,949.00,369.10,14.43,215.20,8.12,342.15,39.00,7.00,67795.00,31313.00,1241.00,6904.00,285.00,28052.00
2021,12,B6,JetBlue Airways,CLT,"Charlotte, NC: Charlotte Douglas International",60.00,11.00,6.55,0.00,1.48,0.00,2.96,4.00,0.00,874.00,579.00,0.00,34.00,0.00,261.00
2021,12,DL,Delta Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",482.00,88.00,51.37,3.70,17.48,0.00,15.45,11.00,0.00,5337.00,3574.00,415.00,551.00,0.00,797.00
2021,12,F9,Frontier Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",119.00,25.00,10.72,0.00,3.83,0.00,10.45,2.00,0.00,1629.00,417.00,0.00,244.00,0.00,968.00
2021,12,MQ,Envoy Air,CLT,"Charlotte, NC: Charlotte Douglas International",214.00,35.00,11.97,0.22,15.37,0.00,7.44,0.00,0.00,1449.00,720.00,5.00,392.00,0.00,332.00
2021,12,NK,Spirit Air Lines,CLT,"Charlotte, NC: Charlotte Douglas International",118.00,32.00,16.59,0.00,7.25,0.00,8.17,6.00,0.00,1933.00,1086.00,0.00,361.00,0.00,486.00
2021,12,OH,PSA Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",6055.00,813.00,239.32,32.93,194.99,1.93,343.83,18.00,9.00,60513.00,25818.00,4926.00,6206.00,85.00,23478.00
2021,12,OO,SkyWest Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",75.00,17.00,14.00,1.00,0.00,0.00,2.00,0.00,0.00,1186.00,965.00,65.00,0.00,0.00,156.00
2021,12,UA,United Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",58.00,23.00,10.46,0.00,1.99,0.00,10.55,4.00,0.00,1041.00,485.00,0.00,78.00,0.00,478.00
2021,12,WN,Southwest Airlines Co.,CLT,"Charlotte, NC: Charlotte Douglas International",203.00,51.00,31.37,0.00,5.19,0.62,13.82,0.00,0.00,2258.00,1292.00,0.00,184.00,13.00,769.00
2021,12,YV,Mesa Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",165.00,30.00,24.00,0.00,4.00,0.00,2.00,5.00,0.00,1791.00,1633.00,0.00,96.00,0.00,62.00
2021,12,YX,Republic Airline,CLT,"Charlotte, NC: Charlotte Douglas International",1038.00,101.00,29.08,9.84,27.44,2.60,32.03,3.00,0.00,5796.00,1799.00,929.00,1118.00,75.00,1875.00
2021,11,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",103.00,7.00,3.78,0.00,3.22,0.00,0.00,0.00,0.00,242.00,144.00,0.00,98.00,0.00,0.00
2021,11,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",8267.00,841.00,377.17,10.40,81.08,6.39,365.96,169.00,5.00,68973.00,38851.00,528.00,2512.00,323.00,26759.00
2021,11,B6,JetBlue Airways,CLT,"Charlotte, NC: Charlotte Douglas International",52.00,3.00,1.44,0.00,0.00,0.00,1.56,0.00,0.00,96.00,45.00,0.00,0.00,0.00,51.00
2021,11,DL,Delta Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",522.00,41.00,27.06,0.00,11.17,0.00,2.78,0.00,0.00,2253.00,1854.00,0.00,321.00,0.00,78.00
2021,11,F9,Frontier Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",114.00,20.00,11.56,0.00,3.05,0.00,5.39,1.00,0.00,856.00,399.00,0.00,96.00,0.00,361.00
2021,11,MQ,Envoy Air,CLT,"Charlotte, NC: Charlotte Douglas International",238.00,10.00,3.28,0.00,1.48,1.00,4.24,0.00,0.00,357.00,102.00,0.00,25.00,122.00,108.00
2021,11,NK,Spirit Air Lines,CLT,"Charlotte, NC: Charlotte Douglas International",120.00,21.00,11.69,0.00,5.66,0.00,3.65,1.00,0.00,1311.00,535.00,0.00,598.00,0.00,178.00
2021,11,OH,PSA Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",5790.00,459.00,158.22,5.23,65.29,1.09,229.18,10.00,1.00,38353.00,15999.00,660.00,1992.00,23.00,19679.00
2021,11,OO,SkyWest Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",88.00,7.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,188.00,188.00,0.00,0.00,0.00,0.00
2021,11,UA,United Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",48.00,9.00,3.85,0.00,0.61,0.00,4.53,2.00,0.00,533.00,186.00,0.00,36.00,0.00,311.00
2021,11,WN,Southwest Airlines Co.,CLT,"Charlotte, NC: Charlotte Douglas International",210.00,37.00,16.84,0.12,6.74,0.00,13.31,0.00,1.00,1786.00,746.00,24.00,170.00,0.00,846.00
2021,11,YV,Mesa Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",198.00,26.00,19.00,0.00,4.00,0.00,3.00,3.00,0.00,1653.00,1322.00,0.00,154.00,0.00,177.00
2021,11,YX,Republic Airline,CLT,"Charlotte, NC: Charlotte Douglas International",976.00,90.00,34.87,2.53,29.31,0.50,22.79,2.00,0.00,4043.00,1493.00,313.00,874.00,36.00,1327.00
2021,10,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",9141.00,1081.00,430.62,28.34,157.79,3.16,461.08,338.00,9.00,90500.00,45990.00,1908.00,7070.00,95.00,35437.00
2021,10,B6,JetBlue Airways,CLT,"Charlotte, NC: Charlotte Douglas International",57.00,6.00,2.94,0.00,1.18,0.00,1.88,0.00,0.00,392.00,202.00,0.00,51.00,0.00,139.00
2021,10,DL,Delta Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",581.00,57.00,30.78,2.00,15.73,0.00,8.49,0.00,0.00,2723.00,2079.00,40.00,337.00,0.00,267.00
2021,10,F9,Frontier Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",111.00,18.00,4.68,0.06,3.89,0.00,9.37,0.00,0.00,1679.00,488.00,9.00,314.00,0.00,868.00
2021,10,MQ,Envoy Air,CLT,"Charlotte, NC: Charlotte Douglas International",415.00,45.00,15.86,1.22,8.20,0.00,19.71,2.00,1.00,2732.00,654.00,48.00,271.00,0.00,1759.00
2021,10,NK,Spirit Air Lines,CLT,"Charlotte, NC: Charlotte Douglas International",118.00,13.00,4.47,1.94,3.57,0.55,2.47,1.00,0.00,570.00,112.00,121.00,188.00,11.00,138.00
2021,10,OH,PSA Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",6447.00,589.00,189.07,18.86,118.42,4.17,258.47,1.00,9.00,44339.00,18278.00,1659.00,3655.00,154.00,20593.00
2021,10,OO,SkyWest Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",85.00,16.00,15.00,0.00,0.00,0.00,1.00,1.00,0.00,741.00,681.00,0.00,0.00,0.00,60.00
2021,10,UA,United Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",27.00,3.00,0.26,0.00,1.41,0.00,1.33,2.00,0.00,118.00,14.00,0.00,33.00,0.00,71.00
