year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,AS,Alaska Airlines Inc.,DAL,"Dallas, TX: Dallas Love Field",47.00,4.00,1.00,0.00,1.66,0.00,1.34,1.00,0.00,277.00,25.00,0.00,95.00,0.00,157.00
2021,12,DL,Delta Air Lines Inc.,DAL,"Dallas, TX: Dallas Love Field",136.00,23.00,9.46,1.77,8.49,0.00,3.28,4.00,0.00,677.00,310.00,49.00,225.00,0.00,93.00
2021,12,OO,SkyWest Airlines Inc.,DAL,"Dallas, TX: Dallas Love Field",45.00,13.00,7.00,0.00,1.00,0.00,5.00,2.00,0.00,346.00,170.00,0.00,19.00,0.00,157.00
2021,12,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5029.00,1412.00,502.96,3.05,299.00,8.06,598.93,38.00,6.00,65573.00,22754.00,157.00,10483.00,355.00,31824.00
2021,11,AS,Alaska Airlines Inc.,DAL,"Dallas, TX: Dallas Love Field",63.00,13.00,2.18,0.00,6.05,0.00,4.77,0.00,0.00,807.00,318.00,0.00,173.00,0.00,316.00
2021,11,DL,Delta Air Lines Inc.,DAL,"Dallas, TX: Dallas Love Field",144.00,16.00,9.36,0.00,5.72,0.93,0.00,0.00,1.00,659.00,502.00,0.00,120.00,37.00,0.00
2021,11,OO,SkyWest Airlines Inc.,DAL,"Dallas, TX: Dallas Love Field",49.00,13.00,6.00,0.00,2.00,0.00,5.00,0.00,0.00,632.00,204.00,0.00,78.00,0.00,350.00
2021,11,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5106.00,1229.00,379.97,4.82,439.66,4.21,400.34,16.00,4.00,52975.00,16883.00,357.00,15097.00,126.00,20512.00
2021,10,AS,Alaska Airlines Inc.,DAL,"Dallas, TX: Dallas Love Field",74.00,24.00,3.00,1.01,17.98,0.00,2.01,0.00,0.00,1159.00,236.00,64.00,769.00,0.00,90.00
2021,10,DL,Delta Air Lines Inc.,DAL,"Dallas, TX: Dallas Love Field",149.00,27.00,5.87,0.36,19.93,0.00,0.84,0.00,1.00,801.00,141.00,36.00,582.00,0.00,42.00
2021,10,OO,SkyWest Airlines Inc.,DAL,"Dallas, TX: Dallas Love Field",57.00,17.00,2.00,0.00,8.00,0.00,7.00,2.00,1.00,810.00,39.00,0.00,389.00,0.00,382.00
2021,10,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5542.00,2116.00,569.47,14.00,850.88,8.47,673.17,258.00,33.00,101584.00,28831.00,847.00,34616.00,232.00,37058.00
2021,9,AS,Alaska Airlines Inc.,DAL,"Dallas, TX: Dallas Love Field",82.00,22.00,4.19,0.00,8.43,0.00,9.38,1.00,0.00,832.00,149.00,0.00,316.00,0.00,367.00
2021,9,DL,Delta Air Lines Inc.,DAL,"Dallas, TX: Dallas Love Field",143.00,25.00,9.36,0.00,14.57,1.00,0.07,0.00,0.00,698.00,267.00,0.00,398.00,31.00,2.00
2021,9,OO,SkyWest Airlines Inc.,DAL,"Dallas, TX: Dallas Love Field",63.00,15.00,6.00,0.00,6.00,0.00,3.00,0.00,0.00,355.00,128.00,0.00,145.00,0.00,82.00
2021,9,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5100.00,1313.00,323.49,23.21,588.93,5.80,371.58,155.00,7.00,62887.00,17823.00,1243.00,23085.00,174.00,20562.00
