year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",128.00,15.00,2.47,0.00,8.51,0.00,4.01,0.00,0.00,667.00,186.00,0.00,214.00,0.00,267.00
2021,12,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",2080.00,289.00,91.71,1.54,63.06,1.27,131.42,21.00,6.00,18509.00,5778.00,128.00,2362.00,65.00,10176.00
2021,12,AS,Alaska Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",155.00,28.00,9.51,4.30,7.50,0.00,6.69,7.00,1.00,2548.00,698.00,701.00,356.00,0.00,793.00
2021,12,B6,JetBlue Airways,DCA,"Washington, DC: Ronald Reagan Washington National",707.00,129.00,64.66,2.47,22.33,1.00,38.54,9.00,0.00,8825.00,5156.00,121.00,959.00,39.00,2550.00
2021,12,DL,Delta Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",648.00,113.00,51.60,2.95,29.70,0.00,28.75,24.00,1.00,6510.00,3802.00,377.00,882.00,0.00,1449.00
2021,12,F9,Frontier Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",91.00,10.00,4.03,0.00,0.46,0.00,5.52,0.00,0.00,430.00,131.00,0.00,34.00,0.00,265.00
2021,12,MQ,Envoy Air,DCA,"Washington, DC: Ronald Reagan Washington National",416.00,74.00,17.19,0.56,25.83,1.79,28.63,0.00,0.00,3041.00,814.00,12.00,848.00,72.00,1295.00
2021,12,OH,PSA Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",2916.00,724.00,124.10,7.00,309.48,1.73,281.70,16.00,2.00,43603.00,11853.00,846.00,10019.00,76.00,20809.00
2021,12,OO,SkyWest Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",167.00,21.00,18.00,0.00,0.00,0.00,3.00,1.00,0.00,1336.00,963.00,0.00,0.00,0.00,373.00
2021,12,UA,United Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",197.00,34.00,11.62,1.00,5.38,0.00,16.00,13.00,0.00,2032.00,435.00,148.00,161.00,0.00,1288.00
2021,12,WN,Southwest Airlines Co.,DCA,"Washington, DC: Ronald Reagan Washington National",1383.00,315.00,114.97,2.51,54.24,0.00,143.28,14.00,0.00,15988.00,6306.00,117.00,1961.00,0.00,7604.00
2021,12,YV,Mesa Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",105.00,19.00,14.00,1.00,3.00,0.00,1.00,2.00,0.00,991.00,802.00,33.00,86.00,0.00,70.00
2021,12,YX,Republic Airline,DCA,"Washington, DC: Ronald Reagan Washington National",2289.00,368.00,77.32,34.41,171.79,1.19,83.30,2.00,3.00,18181.00,4706.00,3047.00,5130.00,47.00,5251.00
