year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",816.00,159.00,56.29,1.78,57.11,1.00,42.82,2.00,0.00,8131.00,2527.00,172.00,2370.00,18.00,3044.00
2021,12,AS,Alaska Airlines Inc.,DEN,"Denver, CO: Denver International",129.00,31.00,11.18,2.25,10.96,0.00,6.61,12.00,1.00,2215.00,919.00,351.00,695.00,0.00,250.00
2021,12,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",124.00,49.00,22.49,0.00,21.36,0.00,5.16,6.00,0.00,3565.00,1789.00,0.00,1071.00,0.00,705.00
2021,12,DL,Delta Air Lines Inc.,DEN,"Denver, CO: Denver International",881.00,247.00,83.58,16.49,102.06,0.00,44.88,30.00,2.00,17691.00,5865.00,3110.00,4758.00,0.00,3958.00
2021,12,F9,Frontier Airlines Inc.,DEN,"Denver, CO: Denver International",1509.00,360.00,105.97,5.52,109.20,0.00,139.31,18.00,0.00,23888.00,6625.00,531.00,5594.00,0.00,11138.00
2021,12,G4,Allegiant Air,DEN,"Denver, CO: Denver International",18.00,8.00,0.00,0.00,6.59,0.00,1.41,0.00,0.00,410.00,0.00,0.00,258.00,0.00,152.00
2021,12,NK,Spirit Air Lines,DEN,"Denver, CO: Denver International",233.00,69.00,25.52,2.85,25.85,0.72,14.07,8.00,1.00,3996.00,1483.00,263.00,1167.00,16.00,1067.00
2021,12,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",5581.00,1115.00,822.00,51.00,56.00,1.00,185.00,284.00,10.00,108723.00,76329.00,6722.00,6979.00,28.00,18665.00
2021,12,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",6363.00,1440.00,471.27,33.45,517.90,1.00,416.37,179.00,4.00,98378.00,34874.00,4087.00,24075.00,116.00,35226.00
2021,12,WN,Southwest Airlines Co.,DEN,"Denver, CO: Denver International",6218.00,2078.00,643.06,22.48,630.87,4.29,777.30,120.00,3.00,105972.00,30896.00,2144.00,27806.00,141.00,44985.00
2021,11,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",809.00,117.00,62.02,0.57,23.52,0.45,30.44,21.00,3.00,5010.00,2709.00,16.00,552.00,24.00,1709.00
2021,11,AS,Alaska Airlines Inc.,DEN,"Denver, CO: Denver International",142.00,16.00,7.88,0.00,3.26,0.00,4.86,1.00,0.00,821.00,478.00,0.00,72.00,0.00,271.00
2021,11,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",108.00,13.00,7.16,0.00,2.10,0.85,2.89,1.00,0.00,613.00,418.00,0.00,82.00,22.00,91.00
2021,11,DL,Delta Air Lines Inc.,DEN,"Denver, CO: Denver International",838.00,101.00,45.60,1.61,31.54,1.99,20.27,0.00,0.00,6767.00,3846.00,119.00,996.00,319.00,1487.00
2021,11,F9,Frontier Airlines Inc.,DEN,"Denver, CO: Denver International",1561.00,159.00,58.90,0.94,28.94,0.00,70.23,2.00,0.00,11023.00,3822.00,833.00,916.00,0.00,5452.00
2021,11,G4,Allegiant Air,DEN,"Denver, CO: Denver International",17.00,4.00,0.18,1.00,1.08,0.00,1.75,1.00,0.00,190.00,7.00,107.00,25.00,0.00,51.00
2021,11,NK,Spirit Air Lines,DEN,"Denver, CO: Denver International",241.00,31.00,13.79,0.12,8.80,0.00,8.30,2.00,1.00,2573.00,795.00,2.00,438.00,0.00,1338.00
2021,11,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",5802.00,628.00,493.00,22.00,10.00,1.00,102.00,18.00,2.00,64705.00,50686.00,2141.00,273.00,155.00,11450.00
2021,11,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",5989.00,609.00,237.66,7.20,179.10,0.00,185.04,21.00,1.00,33732.00,14313.00,275.00,4697.00,0.00,14447.00
2021,11,WN,Southwest Airlines Co.,DEN,"Denver, CO: Denver International",6226.00,1151.00,415.80,1.93,220.12,4.11,509.03,20.00,2.00,48011.00,18393.00,148.00,6317.00,139.00,23014.00
2021,10,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",921.00,186.00,90.95,2.65,51.08,0.94,40.38,40.00,0.00,10357.00,5487.00,136.00,1766.00,75.00,2893.00
2021,10,AS,Alaska Airlines Inc.,DEN,"Denver, CO: Denver International",155.00,19.00,7.45,0.72,3.70,0.00,7.13,1.00,0.00,651.00,338.00,34.00,91.00,0.00,188.00
2021,10,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",160.00,22.00,13.04,0.00,4.30,0.00,4.67,0.00,0.00,1512.00,1111.00,0.00,155.00,0.00,246.00
