year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3.00,1.00,0.12,0.00,0.44,0.00,0.44,0.00,0.00,41.00,5.00,0.00,18.00,0.00,18.00
2021,12,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11780.00,1720.00,619.02,38.50,342.27,11.32,708.89,60.00,4.00,147757.00,67004.00,2849.00,10980.00,388.00,66536.00
2021,12,AS,Alaska Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",93.00,32.00,16.77,2.90,8.55,0.00,3.77,7.00,0.00,1974.00,913.00,438.00,443.00,0.00,180.00
2021,12,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",70.00,20.00,12.39,0.00,4.18,0.00,3.44,3.00,0.00,1279.00,820.00,0.00,97.00,0.00,362.00
2021,12,DL,Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",809.00,135.00,64.69,5.00,29.58,1.00,34.73,15.00,0.00,7932.00,3851.00,804.00,1129.00,33.00,2115.00
2021,12,F9,Frontier Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",320.00,69.00,18.10,1.10,23.38,0.00,26.43,5.00,0.00,3926.00,1149.00,117.00,1063.00,0.00,1597.00
2021,12,MQ,Envoy Air,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5469.00,841.00,200.47,44.78,222.51,3.93,369.30,32.00,5.00,49774.00,14443.00,4278.00,7014.00,131.00,23908.00
2021,12,NK,Spirit Air Lines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",571.00,137.00,50.02,2.28,45.16,1.88,37.66,18.00,0.00,7567.00,3006.00,64.00,2046.00,39.00,2412.00
2021,12,OH,PSA Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",84.00,18.00,7.02,0.00,4.59,0.00,6.38,1.00,0.00,537.00,247.00,0.00,93.00,0.00,197.00
2021,12,OO,SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1904.00,436.00,179.00,31.00,3.00,0.00,223.00,71.00,3.00,39985.00,13497.00,4961.00,176.00,0.00,21351.00
2021,12,UA,United Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",468.00,116.00,61.46,0.00,11.43,0.00,43.11,17.00,0.00,6655.00,2999.00,0.00,436.00,0.00,3220.00
2021,12,YV,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2025.00,434.00,126.55,11.89,60.73,1.63,233.20,164.00,7.00,42211.00,16859.00,2092.00,2246.00,77.00,20937.00
2021,12,YX,Republic Airline,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,11,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11695.00,1469.00,607.61,13.62,173.74,7.30,666.73,235.00,22.00,117359.00,55479.00,1241.00,5258.00,224.00,55157.00
2021,11,AS,Alaska Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",137.00,25.00,15.99,0.00,3.44,0.00,5.58,0.00,0.00,1027.00,715.00,0.00,80.00,0.00,232.00
2021,11,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",78.00,7.00,5.44,0.00,0.51,0.00,1.04,0.00,0.00,280.00,217.00,0.00,18.00,0.00,45.00
2021,11,DL,Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",955.00,107.00,57.47,1.70,22.70,2.00,23.14,0.00,5.00,10150.00,7222.00,264.00,727.00,233.00,1704.00
2021,11,F9,Frontier Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",297.00,48.00,15.29,0.57,18.52,0.00,13.62,0.00,0.00,2775.00,849.00,13.00,628.00,0.00,1285.00
2021,11,MQ,Envoy Air,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5194.00,554.00,159.34,14.87,188.36,3.24,188.19,22.00,12.00,31975.00,14277.00,1582.00,5205.00,104.00,10807.00
2021,11,NK,Spirit Air Lines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",544.00,101.00,41.63,1.26,39.28,1.64,17.18,3.00,1.00,5259.00,2488.00,44.00,1315.00,85.00,1327.00
2021,11,OH,PSA Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",87.00,13.00,3.64,0.00,4.06,0.17,5.13,1.00,0.00,846.00,194.00,0.00,100.00,29.00,523.00
2021,11,OO,SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1792.00,259.00,137.00,4.00,0.00,0.00,118.00,6.00,3.00,22883.00,10001.00,111.00,0.00,0.00,12771.00
2021,11,UA,United Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",447.00,59.00,25.04,1.33,9.06,0.00,23.57,1.00,1.00,3308.00,1475.00,76.00,252.00,0.00,1505.00
2021,11,YV,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2086.00,376.00,106.98,6.22,69.30,1.00,192.51,38.00,5.00,36146.00,12682.00,822.00,2734.00,17.00,19891.00
