year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",2346.00,257.00,72.50,10.37,79.78,0.00,94.35,13.00,2.00,21233.00,8757.00,1463.00,2763.00,0.00,8250.00
2021,12,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",306.00,55.00,30.97,0.00,5.44,0.81,17.78,5.00,3.00,2501.00,1402.00,0.00,132.00,48.00,919.00
2021,12,AS,Alaska Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",31.00,4.00,2.00,0.00,1.04,0.00,0.96,4.00,0.00,203.00,137.00,0.00,39.00,0.00,27.00
2021,12,B6,JetBlue Airways,DTW,"Detroit, MI: Detroit Metro Wayne County",53.00,11.00,7.88,0.82,2.22,0.00,0.08,2.00,0.00,852.00,618.00,111.00,106.00,0.00,17.00
2021,12,DL,Delta Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4101.00,555.00,229.33,24.47,100.03,1.00,200.17,77.00,0.00,45997.00,22356.00,3418.00,3749.00,83.00,16391.00
2021,12,F9,Frontier Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",84.00,35.00,20.73,0.00,5.67,0.00,8.60,2.00,0.00,2107.00,1170.00,0.00,267.00,0.00,670.00
2021,12,MQ,Envoy Air,DTW,"Detroit, MI: Detroit Metro Wayne County",80.00,14.00,6.32,0.00,2.55,0.00,5.14,0.00,0.00,597.00,214.00,0.00,70.00,0.00,313.00
2021,12,NK,Spirit Air Lines,DTW,"Detroit, MI: Detroit Metro Wayne County",742.00,165.00,65.15,0.47,40.87,2.46,56.04,32.00,0.00,9238.00,3303.00,27.00,2199.00,95.00,3614.00
2021,12,OH,PSA Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",127.00,16.00,2.04,0.00,4.04,0.00,9.92,0.00,1.00,899.00,80.00,0.00,94.00,0.00,725.00
2021,12,OO,SkyWest Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",2313.00,472.00,364.00,88.00,3.00,0.00,17.00,102.00,2.00,48856.00,38413.00,8863.00,148.00,0.00,1432.00
2021,12,UA,United Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",43.00,7.00,3.32,0.00,0.06,0.00,3.62,1.00,0.00,466.00,165.00,0.00,4.00,0.00,297.00
2021,12,WN,Southwest Airlines Co.,DTW,"Detroit, MI: Detroit Metro Wayne County",303.00,72.00,37.28,0.00,0.71,1.00,33.01,1.00,0.00,3339.00,1479.00,0.00,30.00,60.00,1770.00
2021,12,YV,Mesa Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",66.00,12.00,9.00,1.00,2.00,0.00,0.00,0.00,0.00,735.00,544.00,143.00,48.00,0.00,0.00
2021,12,YX,Republic Airline,DTW,"Detroit, MI: Detroit Metro Wayne County",437.00,53.00,19.20,3.28,16.23,0.00,14.29,2.00,0.00,3139.00,1274.00,316.00,463.00,0.00,1086.00
2021,11,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",2174.00,204.00,39.23,1.93,69.51,0.00,93.34,1.00,3.00,11575.00,3180.00,178.00,2427.00,0.00,5790.00
2021,11,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",371.00,72.00,34.27,0.12,12.90,0.38,24.34,6.00,0.00,3864.00,1817.00,34.00,376.00,42.00,1595.00
2021,11,AS,Alaska Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",30.00,5.00,0.68,1.00,0.77,0.00,2.56,0.00,0.00,189.00,23.00,90.00,23.00,0.00,53.00
2021,11,B6,JetBlue Airways,DTW,"Detroit, MI: Detroit Metro Wayne County",67.00,8.00,4.98,0.00,1.72,0.00,1.30,0.00,0.00,451.00,252.00,0.00,150.00,0.00,49.00
2021,11,DL,Delta Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4228.00,462.00,155.63,3.60,159.61,5.90,137.26,0.00,7.00,31596.00,14964.00,94.00,4756.00,390.00,11392.00
2021,11,F9,Frontier Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",84.00,22.00,10.44,0.00,5.73,0.00,5.83,0.00,0.00,1035.00,393.00,0.00,165.00,0.00,477.00
2021,11,MQ,Envoy Air,DTW,"Detroit, MI: Detroit Metro Wayne County",101.00,7.00,3.65,0.00,1.32,0.00,2.03,1.00,0.00,273.00,155.00,0.00,28.00,0.00,90.00
2021,11,NK,Spirit Air Lines,DTW,"Detroit, MI: Detroit Metro Wayne County",728.00,131.00,58.53,2.64,36.58,2.87,30.38,5.00,1.00,7905.00,3296.00,84.00,1777.00,153.00,2595.00
2021,11,OH,PSA Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",108.00,15.00,5.47,0.00,1.64,0.00,7.90,1.00,0.00,589.00,187.00,0.00,37.00,0.00,365.00
2021,11,OO,SkyWest Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",2460.00,463.00,353.00,89.00,1.00,5.00,15.00,6.00,5.00,44063.00,33986.00,9012.00,18.00,169.00,878.00
2021,11,UA,United Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",58.00,15.00,3.95,0.00,1.77,0.00,9.28,1.00,0.00,949.00,252.00,0.00,87.00,0.00,610.00
2021,11,WN,Southwest Airlines Co.,DTW,"Detroit, MI: Detroit Metro Wayne County",295.00,77.00,41.41,0.00,3.77,0.00,31.82,0.00,0.00,3241.00,1860.00,0.00,150.00,0.00,1231.00
2021,11,YV,Mesa Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",82.00,12.00,11.00,0.00,0.00,0.00,1.00,1.00,0.00,848.00,814.00,0.00,0.00,0.00,34.00
2021,11,YX,Republic Airline,DTW,"Detroit, MI: Detroit Metro Wayne County",398.00,44.00,13.15,2.23,15.32,0.00,13.31,0.00,0.00,2367.00,671.00,172.00,573.00,0.00,951.00
2021,10,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",2868.00,276.00,84.84,9.66,77.38,0.00,104.13,0.00,1.00,21193.00,8633.00,1082.00,3036.00,0.00,8442.00
2021,10,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",309.00,42.00,26.51,0.00,4.64,0.00,10.86,15.00,0.00,3241.00,1794.00,0.00,213.00,0.00,1234.00
2021,10,AS,Alaska Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",31.00,9.00,4.46,0.00,3.20,0.00,1.34,0.00,0.00,200.00,88.00,0.00,78.00,0.00,34.00
2021,10,B6,JetBlue Airways,DTW,"Detroit, MI: Detroit Metro Wayne County",63.00,12.00,8.28,1.00,1.08,0.00,1.64,0.00,0.00,451.00,308.00,37.00,35.00,0.00,71.00
2021,10,DL,Delta Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4219.00,440.00,163.66,14.57,131.62,5.00,125.14,0.00,2.00,27512.00,13539.00,938.00,4975.00,281.00,7779.00
2021,10,F9,Frontier Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",90.00,20.00,6.83,0.86,4.76,0.00,7.56,0.00,0.00,1136.00,394.00,62.00,221.00,0.00,459.00
2021,10,MQ,Envoy Air,DTW,"Detroit, MI: Detroit Metro Wayne County",84.00,11.00,2.01,2.00,5.58,0.00,1.41,0.00,0.00,376.00,69.00,108.00,160.00,0.00,39.00
2021,10,NK,Spirit Air Lines,DTW,"Detroit, MI: Detroit Metro Wayne County",673.00,97.00,40.01,2.15,30.28,3.34,21.22,11.00,0.00,6638.00,3219.00,218.00,1657.00,126.00,1418.00
2021,10,OH,PSA Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",126.00,12.00,4.03,0.00,2.28,0.00,5.69,0.00,0.00,794.00,230.00,0.00,112.00,0.00,452.00
2021,10,OO,SkyWest Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",2124.00,435.00,318.00,88.00,10.00,2.00,17.00,87.00,1.00,51663.00,39540.00,9979.00,662.00,101.00,1381.00
2021,10,UA,United Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",44.00,4.00,2.94,0.00,0.07,0.00,0.99,0.00,0.00,366.00,106.00,0.00,6.00,0.00,254.00
2021,10,WN,Southwest Airlines Co.,DTW,"Detroit, MI: Detroit Metro Wayne County",258.00,105.00,50.85,1.40,4.20,0.00,48.55,14.00,0.00,4797.00,2140.00,70.00,139.00,0.00,2448.00
2021,10,YV,Mesa Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",66.00,12.00,6.00,2.00,2.00,0.00,2.00,6.00,1.00,738.00,427.00,118.00,34.00,0.00,159.00
