year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",116.00,18.00,4.35,0.97,9.33,0.00,3.35,0.00,0.00,994.00,208.00,66.00,441.00,0.00,279.00
2021,12,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",602.00,128.00,47.31,0.52,58.86,0.00,21.31,7.00,1.00,5805.00,2302.00,22.00,2236.00,0.00,1245.00
2021,12,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",321.00,112.00,27.77,3.34,67.75,1.00,12.14,14.00,0.00,6178.00,1729.00,870.00,2916.00,40.00,623.00
2021,12,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",984.00,382.00,109.70,1.93,134.30,0.36,135.70,62.00,11.00,28762.00,10274.00,220.00,6222.00,7.00,12039.00
2021,12,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",394.00,62.00,31.13,4.20,19.26,0.00,7.41,6.00,0.00,2772.00,1414.00,236.00,857.00,0.00,265.00
2021,12,F9,Frontier Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",230.00,76.00,31.54,0.00,25.01,0.00,19.46,2.00,0.00,4885.00,1569.00,0.00,1179.00,0.00,2137.00
2021,12,G4,Allegiant Air,EWR,"Newark, NJ: Newark Liberty International",53.00,3.00,1.99,0.00,1.01,0.00,0.00,4.00,0.00,61.00,39.00,0.00,22.00,0.00,0.00
2021,12,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",60.00,8.00,4.00,0.30,1.80,0.00,1.90,1.00,0.00,433.00,185.00,7.00,96.00,0.00,145.00
2021,12,NK,Spirit Air Lines,EWR,"Newark, NJ: Newark Liberty International",507.00,118.00,36.72,2.59,50.07,1.74,26.88,32.00,3.00,6653.00,2285.00,142.00,2316.00,60.00,1850.00
2021,12,OO,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",147.00,21.00,18.00,2.00,0.00,0.00,1.00,11.00,0.00,2651.00,2350.00,72.00,0.00,0.00,229.00
2021,12,UA,United Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",5279.00,1523.00,415.68,8.22,681.53,0.52,417.05,286.00,9.00,90629.00,24757.00,528.00,30955.00,11.00,34378.00
2021,12,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",2394.00,616.00,91.12,0.97,423.44,0.41,100.06,18.00,2.00,38456.00,11287.00,94.00,19317.00,12.00,7746.00
2021,11,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",146.00,20.00,5.18,0.00,13.20,0.00,1.61,1.00,1.00,924.00,292.00,0.00,527.00,0.00,105.00
2021,11,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",570.00,134.00,53.15,1.24,54.13,1.36,24.12,16.00,2.00,7362.00,3541.00,47.00,1960.00,100.00,1714.00
2021,11,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",283.00,88.00,23.33,0.00,60.14,0.00,4.53,7.00,0.00,4441.00,1893.00,0.00,1977.00,0.00,571.00
2021,11,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",792.00,230.00,67.78,2.64,103.21,1.34,55.03,0.00,4.00,12931.00,4872.00,316.00,4038.00,61.00,3644.00
2021,11,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",452.00,53.00,24.20,1.00,22.09,0.00,5.70,0.00,1.00,2499.00,1705.00,21.00,570.00,0.00,203.00
2021,11,F9,Frontier Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",215.00,55.00,24.20,0.00,16.26,0.00,14.55,1.00,0.00,3375.00,1446.00,0.00,655.00,0.00,1274.00
2021,11,G4,Allegiant Air,EWR,"Newark, NJ: Newark Liberty International",48.00,16.00,7.09,0.23,8.68,0.00,0.00,1.00,0.00,749.00,416.00,24.00,309.00,0.00,0.00
2021,11,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",49.00,6.00,0.52,2.00,1.42,0.00,2.07,0.00,0.00,220.00,20.00,55.00,32.00,0.00,113.00
2021,11,NK,Spirit Air Lines,EWR,"Newark, NJ: Newark Liberty International",512.00,99.00,30.48,5.30,42.72,1.58,18.92,0.00,0.00,5331.00,1556.00,330.00,1938.00,63.00,1444.00
2021,11,OO,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",80.00,11.00,8.00,0.00,1.00,0.00,2.00,1.00,0.00,485.00,272.00,0.00,42.00,0.00,171.00
2021,11,UA,United Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",5193.00,1140.00,230.58,7.21,672.62,0.00,229.59,44.00,7.00,58773.00,15125.00,415.00,25637.00,0.00,17596.00
2021,11,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",2478.00,561.00,64.62,2.67,420.50,1.92,71.28,11.00,5.00,27819.00,5227.00,167.00,18003.00,39.00,4383.00
2021,10,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",124.00,14.00,4.91,1.84,5.69,0.00,1.56,0.00,1.00,689.00,193.00,127.00,232.00,0.00,137.00
2021,10,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",565.00,137.00,47.87,3.28,44.30,1.16,40.39,23.00,2.00,7393.00,2711.00,193.00,1711.00,55.00,2723.00
2021,10,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",152.00,20.00,6.93,1.00,9.56,0.00,2.51,1.00,0.00,972.00,344.00,54.00,466.00,0.00,108.00
2021,10,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",1048.00,334.00,86.89,3.54,148.06,5.48,90.03,3.00,10.00,20849.00,6231.00,468.00,6941.00,163.00,7046.00
2021,10,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",403.00,40.00,17.55,1.00,14.31,0.94,6.20,0.00,4.00,2583.00,1151.00,599.00,412.00,103.00,318.00
2021,10,F9,Frontier Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",161.00,32.00,13.09,0.18,7.91,0.00,10.82,3.00,0.00,2575.00,936.00,14.00,357.00,0.00,1268.00
2021,10,G4,Allegiant Air,EWR,"Newark, NJ: Newark Liberty International",60.00,2.00,0.00,0.77,1.23,0.00,0.00,2.00,0.00,55.00,0.00,27.00,28.00,0.00,0.00
2021,10,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",1.00,1.00,0.00,0.87,0.13,0.00,0.00,0.00,0.00,68.00,0.00,59.00,9.00,0.00,0.00
2021,10,NK,Spirit Air Lines,EWR,"Newark, NJ: Newark Liberty International",547.00,108.00,41.76,2.96,38.99,1.00,23.30,6.00,1.00,6159.00,1932.00,327.00,2039.00,26.00,1835.00
2021,10,OO,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",37.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,75.00,75.00,0.00,0.00,0.00,0.00
2021,10,UA,United Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",4324.00,710.00,199.46,13.89,300.41,0.00,196.24,49.00,20.00,48527.00,16449.00,1925.00,12635.00,0.00,17518.00
2021,10,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",1580.00,256.00,51.22,2.00,131.75,0.78,70.25,22.00,6.00,15996.00,3491.00,136.00,7514.00,38.00,4817.00
2021,9,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",137.00,11.00,3.10,1.00,6.74,0.00,0.17,5.00,0.00,738.00,142.00,97.00,479.00,0.00,20.00
2021,9,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",514.00,115.00,29.22,2.24,66.70,0.00,16.84,10.00,1.00,7401.00,2727.00,226.00,3228.00,0.00,1220.00
2021,9,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",171.00,23.00,5.81,0.00,16.19,0.00,1.00,0.00,1.00,790.00,246.00,0.00,527.00,0.00,17.00
2021,9,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",1142.00,416.00,110.94,5.92,164.92,2.36,131.86,63.00,9.00,38358.00,12670.00,476.00,10720.00,81.00,14411.00
2021,9,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",314.00,74.00,26.38,1.81,40.84,0.00,4.96,0.00,2.00,7266.00,3158.00,907.00,2990.00,0.00,211.00
2021,9,F9,Frontier Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",184.00,63.00,23.25,3.20,26.04,0.00,10.51,3.00,1.00,4659.00,1043.00,135.00,2619.00,0.00,862.00
2021,9,G4,Allegiant Air,EWR,"Newark, NJ: Newark Liberty International",43.00,3.00,2.98,0.00,0.02,0.00,0.00,0.00,0.00,206.00,204.00,0.00,2.00,0.00,0.00
2021,9,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,9,NK,Spirit Air Lines,EWR,"Newark, NJ: Newark Liberty International",550.00,121.00,32.21,8.26,59.88,2.25,18.40,28.00,0.00,7172.00,2164.00,593.00,2794.00,106.00,1515.00
2021,9,OO,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",78.00,11.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,705.00,705.00,0.00,0.00,0.00,0.00
2021,9,UA,United Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",3585.00,627.00,143.24,24.64,294.46,0.00,164.66,150.00,23.00,54436.00,11895.00,4428.00,20211.00,0.00,17902.00
2021,9,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",1110.00,130.00,32.62,1.45,61.88,0.00,34.06,126.00,4.00,10243.00,4682.00,92.00,3291.00,0.00,2178.00
2021,8,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",145.00,19.00,12.17,1.00,5.52,0.00,0.31,0.00,1.00,1119.00,906.00,56.00,124.00,0.00,33.00
2021,8,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",607.00,209.00,77.66,13.75,74.87,2.83,39.89,33.00,2.00,14212.00,4861.00,1747.00,4237.00,79.00,3288.00
2021,8,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",159.00,32.00,15.64,0.00,14.60,0.76,1.00,0.00,2.00,1201.00,671.00,0.00,486.00,22.00,22.00
2021,8,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",1307.00,603.00,178.03,14.51,202.93,1.37,206.16,37.00,19.00,45109.00,12778.00,1305.00,10077.00,132.00,20817.00
2021,8,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",306.00,67.00,28.14,4.59,27.83,0.00,6.44,0.00,0.00,5985.00,3698.00,238.00,1792.00,0.00,257.00
2021,8,F9,Frontier Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",245.00,114.00,35.29,6.43,45.07,0.00,27.22,16.00,3.00,9220.00,2086.00,698.00,3559.00,0.00,2877.00
2021,8,G4,Allegiant Air,EWR,"Newark, NJ: Newark Liberty International",57.00,8.00,4.00,0.00,4.00,0.00,0.00,3.00,0.00,484.00,312.00,0.00,172.00,0.00,0.00
2021,8,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,8,NK,Spirit Air Lines,EWR,"Newark, NJ: Newark Liberty International",610.00,168.00,62.43,9.72,69.94,0.00,25.91,102.00,3.00,11037.00,3783.00,1012.00,4135.00,0.00,2107.00
2021,8,OO,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",104.00,27.00,20.00,6.00,1.00,0.00,0.00,1.00,1.00,1958.00,976.00,957.00,25.00,0.00,0.00
2021,8,UA,United Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",3655.00,920.00,260.61,38.07,297.27,0.00,324.06,59.00,13.00,67649.00,21143.00,4028.00,16137.00,0.00,26341.00
2021,8,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",1290.00,257.00,54.29,6.02,93.30,0.00,103.39,162.00,5.00,18628.00,3284.00,763.00,6235.00,0.00,8346.00
2021,7,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",240.00,38.00,12.17,3.78,19.87,0.00,2.18,3.00,4.00,2134.00,402.00,150.00,1393.00,0.00,189.00
2021,7,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",614.00,250.00,87.47,15.43,98.02,2.11,46.96,21.00,11.00,18182.00,6538.00,1322.00,5976.00,74.00,4272.00
2021,7,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",155.00,25.00,7.79,0.00,16.41,0.00,0.80,1.00,0.00,1449.00,361.00,0.00,1076.00,0.00,12.00
2021,7,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",1298.00,764.00,207.97,12.96,264.95,0.83,277.28,77.00,31.00,79025.00,20325.00,2816.00,21363.00,65.00,34456.00
2021,7,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",319.00,88.00,37.83,7.57,38.96,0.00,3.65,0.00,3.00,7446.00,2704.00,1228.00,3294.00,0.00,220.00
2021,7,F9,Frontier Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",243.00,127.00,44.74,8.67,42.71,0.00,30.88,15.00,1.00,10879.00,3167.00,664.00,3418.00,0.00,3630.00
2021,7,G4,Allegiant Air,EWR,"Newark, NJ: Newark Liberty International",82.00,9.00,1.94,1.08,5.98,0.00,0.00,4.00,0.00,665.00,66.00,114.00,485.00,0.00,0.00
2021,7,NK,Spirit Air Lines,EWR,"Newark, NJ: Newark Liberty International",552.00,225.00,67.64,25.70,91.33,2.81,37.52,26.00,5.00,16442.00,3556.00,2562.00,7146.00,148.00,3030.00
2021,7,OO,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",16.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,431.00,431.00,0.00,0.00,0.00,0.00
2021,7,UA,United Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",3498.00,1061.00,244.55,42.88,406.70,0.79,366.08,215.00,54.00,90747.00,20817.00,6246.00,27969.00,46.00,35669.00
2021,7,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",1333.00,287.00,52.80,6.29,113.51,7.50,106.90,253.00,17.00,22219.00,3603.00,247.00,10400.00,420.00,7549.00
2021,6,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",108.00,17.00,5.76,4.03,4.08,0.00,3.13,3.00,0.00,2276.00,520.00,1265.00,264.00,0.00,227.00
2021,6,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",597.00,199.00,69.55,11.62,65.36,1.45,51.03,26.00,4.00,14633.00,4285.00,836.00,4703.00,63.00,4746.00
2021,6,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",155.00,25.00,4.99,0.00,18.80,1.00,0.21,1.00,2.00,1062.00,311.00,0.00,659.00,81.00,11.00
2021,6,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",1213.00,565.00,205.10,18.46,162.16,1.96,177.32,10.00,12.00,48207.00,16037.00,1894.00,9654.00,101.00,20521.00
2021,6,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",320.00,64.00,32.69,2.09,22.55,0.00,6.66,0.00,2.00,3419.00,1311.00,67.00,1675.00,0.00,366.00
2021,6,F9,Frontier Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",212.00,92.00,32.43,6.48,32.70,0.00,20.39,1.00,1.00,8561.00,2880.00,636.00,2951.00,0.00,2094.00
2021,6,G4,Allegiant Air,EWR,"Newark, NJ: Newark Liberty International",62.00,8.00,3.67,1.00,2.33,1.00,0.00,1.00,0.00,556.00,291.00,161.00,86.00,18.00,0.00
2021,6,NK,Spirit Air Lines,EWR,"Newark, NJ: Newark Liberty International",371.00,104.00,19.98,10.19,48.09,2.32,23.43,1.00,0.00,6617.00,1115.00,697.00,3481.00,78.00,1246.00
2021,6,OO,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",78.00,7.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,338.00,338.00,0.00,0.00,0.00,0.00
2021,6,UA,United Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",2907.00,694.00,173.07,49.69,297.37,0.92,172.95,8.00,35.00,50541.00,11166.00,4793.00,19360.00,35.00,15187.00
2021,6,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",1119.00,196.00,44.83,4.02,80.90,0.00,66.25,19.00,13.00,16254.00,3552.00,210.00,6300.00,0.00,6192.00
2021,5,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",59.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,39.00,0.00,0.00,0.00,0.00
2021,5,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",456.00,65.00,28.58,5.27,14.37,1.31,15.48,1.00,1.00,3669.00,1657.00,260.00,559.00,124.00,1069.00
2021,5,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",117.00,6.00,3.00,0.71,1.29,0.00,1.00,0.00,0.00,275.00,137.00,17.00,51.00,0.00,70.00
2021,5,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",1206.00,288.00,129.81,6.23,68.60,7.03,76.34,1.00,5.00,17617.00,7996.00,785.00,2317.00,160.00,6359.00
