year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",608.00,85.00,45.88,0.00,16.73,0.00,22.38,9.00,2.00,4366.00,2367.00,0.00,525.00,0.00,1474.00
2021,12,AS,Alaska Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",153.00,40.00,13.35,2.50,16.00,0.00,8.15,8.00,0.00,2484.00,660.00,364.00,773.00,0.00,687.00
2021,12,B6,JetBlue Airways,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1746.00,489.00,257.20,1.24,90.78,6.01,133.76,83.00,7.00,31942.00,17379.00,80.00,3824.00,169.00,10490.00
2021,12,DL,Delta Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",902.00,165.00,91.17,7.77,34.70,1.00,30.36,17.00,0.00,9379.00,5965.00,775.00,1153.00,28.00,1458.00
2021,12,G4,Allegiant Air,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",296.00,88.00,18.85,1.18,24.67,0.00,43.30,28.00,0.00,5191.00,1216.00,31.00,1431.00,0.00,2513.00
2021,12,NK,Spirit Air Lines,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1590.00,337.00,106.54,8.51,121.58,12.85,87.53,59.00,5.00,21673.00,7440.00,562.00,5920.00,453.00,7298.00
2021,12,UA,United Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",838.00,164.00,79.74,1.92,26.75,0.00,55.59,30.00,4.00,10254.00,4813.00,323.00,1058.00,0.00,4060.00
2021,12,WN,Southwest Airlines Co.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1433.00,284.00,137.60,2.61,31.36,1.73,110.71,6.00,2.00,14663.00,7169.00,233.00,1368.00,28.00,5865.00
2021,11,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",581.00,73.00,35.39,0.75,11.17,0.00,25.70,7.00,1.00,4267.00,2191.00,18.00,372.00,0.00,1686.00
2021,11,AS,Alaska Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",65.00,4.00,1.38,0.00,0.67,0.95,1.00,0.00,1.00,242.00,52.00,0.00,22.00,18.00,150.00
2021,11,B6,JetBlue Airways,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1545.00,433.00,225.75,3.29,119.41,1.28,83.28,2.00,10.00,24761.00,14743.00,447.00,4022.00,36.00,5513.00
2021,11,DL,Delta Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",787.00,123.00,50.55,2.89,58.28,2.83,8.45,0.00,1.00,4838.00,2033.00,693.00,1589.00,186.00,337.00
2021,11,G4,Allegiant Air,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",227.00,70.00,19.96,0.95,14.82,0.94,33.31,6.00,0.00,4758.00,1727.00,63.00,614.00,102.00,2252.00
2021,11,NK,Spirit Air Lines,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1643.00,317.00,69.73,6.97,141.54,5.50,93.27,13.00,4.00,21358.00,5572.00,779.00,8233.00,240.00,6534.00
2021,11,UA,United Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",742.00,114.00,43.21,1.00,31.62,1.00,37.17,2.00,1.00,5143.00,1936.00,53.00,793.00,84.00,2277.00
2021,11,WN,Southwest Airlines Co.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1438.00,234.00,119.97,1.00,31.04,2.68,79.31,6.00,1.00,11374.00,6342.00,99.00,1057.00,120.00,3756.00
2021,11,YV,Mesa Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,11,YX,Republic Airline,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,10,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",573.00,99.00,43.60,0.25,18.30,0.71,36.13,16.00,0.00,6912.00,3450.00,30.00,758.00,83.00,2591.00
2021,10,AS,Alaska Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",31.00,3.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,231.00,152.00,0.00,79.00,0.00,0.00
2021,10,B6,JetBlue Airways,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1559.00,349.00,178.17,5.25,86.07,1.59,77.92,5.00,4.00,23253.00,12724.00,452.00,3799.00,58.00,6220.00
2021,10,DL,Delta Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",798.00,96.00,49.57,1.18,31.21,0.78,13.25,2.00,0.00,6376.00,2968.00,125.00,1980.00,36.00,1267.00
2021,10,G4,Allegiant Air,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",246.00,74.00,15.42,2.24,18.15,0.00,38.18,14.00,0.00,6103.00,1092.00,354.00,1143.00,0.00,3514.00
2021,10,NK,Spirit Air Lines,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1949.00,382.00,108.10,12.69,163.52,2.22,95.48,40.00,1.00,25681.00,8096.00,1934.00,8232.00,77.00,7342.00
2021,10,UA,United Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",582.00,93.00,32.68,2.32,27.26,0.00,30.75,5.00,1.00,5892.00,1756.00,160.00,1478.00,0.00,2498.00
2021,10,WN,Southwest Airlines Co.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1406.00,289.00,136.89,3.96,26.94,0.00,121.22,70.00,5.00,14473.00,6698.00,458.00,1084.00,0.00,6233.00
2021,10,YX,Republic Airline,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",30.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,270.00,270.00,0.00,0.00,0.00,0.00
2021,9,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",554.00,97.00,37.35,0.95,33.71,0.58,24.41,3.00,2.00,5784.00,2318.00,359.00,1428.00,60.00,1619.00
2021,9,AS,Alaska Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",30.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,19.00,19.00,0.00,0.00,0.00,0.00
2021,9,B6,JetBlue Airways,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1387.00,301.00,142.39,4.61,78.30,0.48,75.22,41.00,4.00,24645.00,13362.00,785.00,3386.00,24.00,7088.00
2021,9,DL,Delta Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",779.00,94.00,49.00,3.54,27.41,1.00,13.05,6.00,2.00,7081.00,3023.00,1188.00,1603.00,17.00,1250.00
2021,9,G4,Allegiant Air,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",151.00,42.00,16.62,1.21,5.63,0.26,18.28,5.00,0.00,4095.00,1853.00,83.00,250.00,19.00,1890.00
2021,9,NK,Spirit Air Lines,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2055.00,509.00,102.78,12.07,315.24,3.28,75.63,43.00,3.00,30440.00,9425.00,834.00,14545.00,100.00,5536.00
2021,9,UA,United Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",553.00,104.00,32.83,2.52,39.68,0.00,28.97,11.00,1.00,5419.00,1443.00,116.00,1534.00,0.00,2326.00
2021,9,WN,Southwest Airlines Co.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1236.00,185.00,85.35,1.31,23.57,1.00,73.76,50.00,7.00,9647.00,5158.00,83.00,876.00,34.00,3496.00
2021,9,YX,Republic Airline,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",30.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,24.00,0.00,0.00
2021,8,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",666.00,166.00,71.55,7.69,52.89,0.17,33.70,28.00,0.00,10679.00,4053.00,507.00,2367.00,29.00,3723.00
2021,8,AS,Alaska Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",31.00,5.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,204.00,58.00,0.00,146.00,0.00,0.00
2021,8,B6,JetBlue Airways,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1555.00,482.00,232.98,6.03,110.32,1.92,130.75,30.00,5.00,39513.00,19051.00,418.00,7302.00,87.00,12655.00
