year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",48.00,4.00,0.73,0.00,3.27,0.00,0.00,0.00,0.00,105.00,32.00,0.00,73.00,0.00,0.00
2021,12,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",136.00,22.00,10.08,0.00,2.55,0.00,9.38,0.00,0.00,1204.00,552.00,0.00,76.00,0.00,576.00
2021,12,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",58.00,12.00,5.12,0.59,5.03,0.00,1.26,3.00,0.00,657.00,230.00,146.00,240.00,0.00,41.00
2021,12,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",207.00,39.00,19.63,3.73,5.34,0.40,9.91,7.00,0.00,2438.00,1111.00,259.00,183.00,42.00,843.00
2021,12,F9,Frontier Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",11.00,2.00,1.02,0.00,0.00,0.00,0.98,2.00,0.00,172.00,118.00,0.00,0.00,0.00,54.00
2021,12,G4,Allegiant Air,IAD,"Washington, DC: Washington Dulles International",14.00,4.00,1.00,0.00,1.20,0.00,1.80,2.00,0.00,374.00,184.00,0.00,34.00,0.00,156.00
2021,12,OH,PSA Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",76.00,6.00,2.89,0.00,1.53,0.00,1.58,0.00,0.00,265.00,128.00,0.00,77.00,0.00,60.00
2021,12,OO,SkyWest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",438.00,107.00,80.00,17.00,0.00,1.00,9.00,19.00,0.00,11698.00,8668.00,1817.00,0.00,35.00,1178.00
2021,12,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",2253.00,314.00,151.34,10.03,45.54,0.00,107.08,46.00,4.00,18329.00,7386.00,533.00,1733.00,0.00,8677.00
2021,12,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",176.00,46.00,25.53,0.00,3.12,0.00,17.35,3.00,1.00,2154.00,1136.00,0.00,100.00,0.00,918.00
2021,12,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",963.00,124.00,54.00,0.00,12.00,0.00,58.00,36.00,0.00,8908.00,4029.00,0.00,257.00,0.00,4622.00
2021,12,YX,Republic Airline,IAD,"Washington, DC: Washington Dulles International",487.00,53.00,15.37,0.00,22.33,0.00,15.30,1.00,1.00,3997.00,2398.00,0.00,529.00,0.00,1070.00
2021,11,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",50.00,6.00,1.92,0.63,2.99,0.00,0.46,0.00,0.00,178.00,49.00,40.00,77.00,0.00,12.00
2021,11,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",183.00,33.00,14.23,0.28,3.51,0.12,14.85,5.00,0.00,2462.00,1535.00,21.00,83.00,11.00,812.00
2021,11,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",62.00,10.00,2.68,0.00,7.32,0.00,0.00,1.00,0.00,320.00,87.00,0.00,233.00,0.00,0.00
2021,11,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",221.00,16.00,6.50,1.00,3.39,0.98,4.14,0.00,0.00,527.00,262.00,45.00,76.00,41.00,103.00
2021,11,F9,Frontier Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",10.00,4.00,3.71,0.00,0.29,0.00,0.00,0.00,0.00,293.00,257.00,0.00,36.00,0.00,0.00
2021,11,G4,Allegiant Air,IAD,"Washington, DC: Washington Dulles International",4.00,2.00,0.24,0.00,0.00,0.00,1.76,0.00,0.00,44.00,6.00,0.00,0.00,0.00,38.00
2021,11,OH,PSA Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",62.00,5.00,2.16,0.00,1.41,0.00,1.43,0.00,0.00,223.00,87.00,0.00,49.00,0.00,87.00
2021,11,OO,SkyWest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",433.00,84.00,67.00,6.00,0.00,1.00,10.00,5.00,0.00,8377.00,5648.00,975.00,0.00,21.00,1733.00
2021,11,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",2101.00,210.00,87.94,1.34,58.99,0.00,61.72,7.00,0.00,9761.00,4409.00,80.00,1511.00,0.00,3761.00
2021,11,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",171.00,38.00,19.68,0.00,3.76,0.00,14.56,0.00,0.00,1700.00,844.00,0.00,144.00,0.00,712.00
2021,11,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",1124.00,127.00,64.00,1.00,13.00,1.00,48.00,19.00,0.00,9939.00,5890.00,15.00,380.00,164.00,3490.00
2021,11,YX,Republic Airline,IAD,"Washington, DC: Washington Dulles International",583.00,66.00,20.56,0.29,21.97,0.73,22.45,0.00,1.00,3773.00,1349.00,9.00,752.00,11.00,1652.00
2021,10,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",20.00,4.00,1.53,0.00,2.47,0.00,0.00,0.00,0.00,85.00,39.00,0.00,46.00,0.00,0.00
2021,10,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",148.00,38.00,11.80,0.00,19.32,0.00,6.88,12.00,0.00,1840.00,741.00,0.00,669.00,0.00,430.00
2021,10,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",73.00,19.00,6.00,0.00,8.94,1.00,3.06,1.00,0.00,615.00,262.00,0.00,198.00,47.00,108.00
2021,10,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",233.00,43.00,26.12,0.94,8.18,0.00,7.76,0.00,0.00,2614.00,1966.00,29.00,279.00,0.00,340.00
2021,10,F9,Frontier Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",9.00,4.00,1.89,0.00,2.11,0.00,0.00,0.00,0.00,151.00,91.00,0.00,60.00,0.00,0.00
2021,10,OH,PSA Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",114.00,18.00,5.85,1.00,4.07,0.00,7.08,0.00,0.00,934.00,383.00,54.00,117.00,0.00,380.00
2021,10,OO,SkyWest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",463.00,86.00,54.00,17.00,2.00,0.00,13.00,10.00,3.00,7929.00,5163.00,1205.00,51.00,0.00,1510.00
2021,10,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",2346.00,343.00,110.27,3.36,120.41,0.00,108.95,10.00,2.00,19538.00,6256.00,186.00,4246.00,0.00,8850.00
2021,10,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",169.00,62.00,35.09,0.23,6.70,0.00,19.99,5.00,0.00,3113.00,1913.00,11.00,191.00,0.00,998.00
2021,10,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",826.00,148.00,31.00,12.00,30.00,0.00,75.00,31.00,2.00,13484.00,4508.00,1338.00,1492.00,0.00,6146.00
2021,10,YX,Republic Airline,IAD,"Washington, DC: Washington Dulles International",1213.00,198.00,30.20,2.50,93.21,1.00,71.09,5.00,5.00,12504.00,4131.00,205.00,3372.00,25.00,4771.00
2021,9,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",60.00,7.00,2.37,0.12,1.18,0.00,3.33,2.00,0.00,476.00,112.00,31.00,41.00,0.00,292.00
2021,9,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",131.00,27.00,8.07,0.00,12.72,0.00,6.21,0.00,0.00,926.00,394.00,0.00,290.00,0.00,242.00
2021,9,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",82.00,18.00,3.83,0.00,13.17,0.00,1.00,1.00,0.00,721.00,276.00,0.00,406.00,0.00,39.00
2021,9,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",220.00,20.00,12.45,0.00,3.74,0.00,3.81,0.00,0.00,816.00,594.00,0.00,91.00,0.00,131.00
2021,9,F9,Frontier Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",12.00,1.00,0.18,0.00,0.11,0.00,0.71,0.00,0.00,38.00,7.00,0.00,4.00,0.00,27.00
2021,9,OH,PSA Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",106.00,7.00,2.19,0.13,3.74,0.00,0.94,1.00,0.00,248.00,107.00,5.00,94.00,0.00,42.00
2021,9,OO,SkyWest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",422.00,65.00,47.00,10.00,1.00,1.00,6.00,1.00,0.00,6674.00,4190.00,589.00,445.00,30.00,1420.00
2021,9,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",2107.00,262.00,88.89,8.94,83.05,0.00,81.12,22.00,1.00,17960.00,9205.00,469.00,2417.00,0.00,5869.00
2021,9,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",160.00,33.00,13.64,0.00,8.24,0.00,11.12,4.00,0.00,1153.00,543.00,0.00,192.00,0.00,418.00
2021,9,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",871.00,102.00,21.00,21.00,23.00,0.00,37.00,19.00,0.00,6302.00,1672.00,1273.00,744.00,0.00,2613.00
2021,9,YX,Republic Airline,IAD,"Washington, DC: Washington Dulles International",854.00,119.00,29.43,2.43,49.66,0.38,37.10,17.00,0.00,5718.00,1845.00,149.00,1531.00,6.00,2187.00
2021,8,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",62.00,9.00,1.29,0.00,6.71,0.00,1.00,1.00,0.00,528.00,126.00,0.00,363.00,0.00,39.00
2021,8,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",53.00,11.00,6.94,0.00,2.32,0.00,1.74,2.00,0.00,668.00,545.00,0.00,52.00,0.00,71.00
2021,8,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",87.00,24.00,6.75,0.79,13.36,0.00,3.10,0.00,1.00,835.00,295.00,15.00,416.00,0.00,109.00
2021,8,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",217.00,50.00,21.71,1.21,22.40,0.00,4.68,0.00,0.00,2662.00,1447.00,83.00,863.00,0.00,269.00
2021,8,F9,Frontier Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",14.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,75.00,0.00,0.00,0.00,0.00
2021,8,MQ,Envoy Air,IAD,"Washington, DC: Washington Dulles International",32.00,6.00,1.59,0.68,1.30,0.00,2.43,0.00,0.00,535.00,102.00,100.00,54.00,0.00,279.00
2021,8,OH,PSA Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",118.00,30.00,5.99,7.29,7.75,0.03,8.94,1.00,2.00,2930.00,390.00,1098.00,389.00,1.00,1052.00
2021,8,OO,SkyWest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",443.00,104.00,76.00,14.00,7.00,0.00,7.00,6.00,2.00,9650.00,6762.00,1242.00,756.00,0.00,890.00
2021,8,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",2086.00,523.00,140.99,30.41,193.34,0.00,158.26,22.00,10.00,34605.00,10642.00,2093.00,8633.00,0.00,13237.00
2021,8,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",173.00,71.00,33.14,0.00,9.04,0.00,28.82,7.00,1.00,3874.00,1493.00,0.00,361.00,0.00,2020.00
2021,8,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",1083.00,268.00,39.00,47.00,54.00,0.00,128.00,24.00,3.00,27419.00,7535.00,5512.00,2324.00,0.00,12048.00
2021,8,YX,Republic Airline,IAD,"Washington, DC: Washington Dulles International",831.00,293.00,60.62,6.04,114.09,0.00,112.24,22.00,8.00,19796.00,4300.00,632.00,4826.00,0.00,10038.00
2021,7,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",62.00,16.00,1.97,1.77,5.64,0.00,6.62,4.00,0.00,1141.00,96.00,187.00,416.00,0.00,442.00
2021,7,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",93.00,17.00,2.94,0.00,11.32,0.00,2.74,0.00,0.00,657.00,131.00,0.00,459.00,0.00,67.00
2021,7,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",216.00,50.00,30.64,1.61,12.57,0.00,5.18,0.00,0.00,3310.00,1769.00,123.00,959.00,0.00,459.00
2021,7,F9,Frontier Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",14.00,4.00,1.97,0.00,0.67,0.00,1.36,2.00,0.00,314.00,121.00,0.00,14.00,0.00,179.00
2021,7,MQ,Envoy Air,IAD,"Washington, DC: Washington Dulles International",62.00,14.00,3.20,0.28,3.54,0.00,6.99,0.00,1.00,720.00,196.00,25.00,164.00,0.00,335.00
2021,7,OH,PSA Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",146.00,36.00,10.59,3.52,13.93,0.88,7.08,5.00,0.00,2547.00,667.00,402.00,711.00,28.00,739.00
2021,7,OO,SkyWest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",431.00,90.00,65.00,12.00,4.00,0.00,9.00,3.00,1.00,8629.00,5086.00,1684.00,341.00,0.00,1518.00
2021,7,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",1981.00,493.00,162.18,22.03,175.64,0.00,133.15,17.00,10.00,35914.00,11634.00,2714.00,9790.00,0.00,11776.00
2021,7,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",172.00,60.00,33.86,0.00,7.90,0.00,18.24,3.00,2.00,3294.00,1848.00,0.00,494.00,0.00,952.00
2021,7,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",1005.00,264.00,42.00,58.00,69.00,0.00,95.00,29.00,6.00,24948.00,4540.00,7815.00,2538.00,0.00,10055.00
2021,7,YX,Republic Airline,IAD,"Washington, DC: Washington Dulles International",967.00,236.00,43.51,11.46,78.92,0.00,102.11,49.00,6.00,18354.00,3513.00,979.00,4120.00,0.00,9742.00
2021,6,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",56.00,8.00,0.00,1.00,5.00,0.00,2.00,1.00,0.00,1065.00,0.00,604.00,345.00,0.00,116.00
2021,6,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,6,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",85.00,17.00,5.08,0.00,11.06,0.00,0.85,2.00,2.00,651.00,268.00,0.00,360.00,0.00,23.00
2021,6,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",210.00,46.00,21.43,0.51,19.73,0.00,4.33,0.00,1.00,3037.00,2064.00,29.00,708.00,0.00,236.00
2021,6,F9,Frontier Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",13.00,2.00,1.09,0.00,0.91,0.00,0.00,0.00,0.00,85.00,64.00,0.00,21.00,0.00,0.00
2021,6,MQ,Envoy Air,IAD,"Washington, DC: Washington Dulles International",56.00,9.00,1.29,1.11,1.52,0.00,5.07,0.00,0.00,518.00,100.00,100.00,81.00,0.00,237.00
2021,6,OH,PSA Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",145.00,36.00,10.78,4.67,10.40,0.00,10.14,2.00,0.00,1769.00,474.00,253.00,517.00,0.00,525.00
2021,6,OO,SkyWest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",355.00,60.00,39.00,13.00,2.00,1.00,5.00,1.00,4.00,6197.00,4211.00,718.00,179.00,45.00,1044.00
2021,6,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",1625.00,343.00,102.56,27.19,143.08,0.00,70.18,1.00,3.00,23511.00,6076.00,2538.00,7589.00,0.00,7308.00
2021,6,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",168.00,74.00,37.06,2.00,5.24,0.00,29.70,8.00,1.00,3934.00,1832.00,51.00,455.00,0.00,1596.00
2021,6,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",613.00,107.00,21.00,14.00,72.00,0.00,0.00,1.00,3.00,12998.00,4503.00,1304.00,7191.00,0.00,0.00
2021,6,YX,Republic Airline,IAD,"Washington, DC: Washington Dulles International",488.00,96.00,30.66,2.00,45.56,0.00,17.78,9.00,2.00,7420.00,3322.00,102.00,2273.00,0.00,1723.00
2021,5,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",50.00,3.00,0.06,0.00,2.00,0.00,0.94,1.00,0.00,238.00,2.00,0.00,206.00,0.00,30.00
2021,5,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",62.00,16.00,6.07,0.98,2.41,0.00,6.54,2.00,0.00,900.00,306.00,87.00,160.00,0.00,347.00
2021,5,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",68.00,6.00,2.96,0.00,2.04,0.00,1.00,0.00,0.00,206.00,157.00,0.00,34.00,0.00,15.00
2021,5,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",210.00,20.00,14.09,0.68,3.90,0.00,1.32,0.00,1.00,728.00,393.00,55.00,114.00,0.00,166.00
2021,5,F9,Frontier Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",13.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,386.00,0.00,0.00,386.00,0.00,0.00
2021,5,OH,PSA Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",152.00,18.00,6.39,0.44,6.10,0.00,5.07,1.00,0.00,1065.00,474.00,40.00,265.00,0.00,286.00
2021,5,OO,SkyWest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",270.00,24.00,21.00,3.00,0.00,0.00,0.00,0.00,1.00,2163.00,1979.00,184.00,0.00,0.00,0.00
2021,5,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",1458.00,146.00,52.75,6.81,61.21,0.00,25.23,4.00,2.00,7604.00,2846.00,470.00,2023.00,0.00,2265.00
2021,5,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",163.00,28.00,14.42,1.00,2.78,0.00,9.81,0.00,0.00,1367.00,818.00,45.00,112.00,0.00,392.00
2021,5,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",599.00,66.00,15.00,5.00,45.00,0.00,1.00,0.00,1.00,6416.00,1070.00,741.00,4587.00,0.00,18.00
2021,5,YX,Republic Airline,IAD,"Washington, DC: Washington Dulles International",577.00,62.00,21.49,1.00,29.83,0.00,9.68,0.00,0.00,5012.00,2556.00,117.00,1258.00,0.00,1081.00
2021,4,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",60.00,7.00,2.60,0.27,1.87,0.00,2.27,0.00,0.00,368.00,74.00,29.00,93.00,0.00,172.00
2021,4,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",57.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,16.00,0.00,0.00
2021,4,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",168.00,6.00,4.00,0.83,1.17,0.00,0.00,0.00,1.00,170.00,100.00,44.00,26.00,0.00,0.00
2021,4,F9,Frontier Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",18.00,7.00,2.86,0.80,3.34,0.00,0.00,0.00,0.00,252.00,85.00,68.00,99.00,0.00,0.00
2021,4,OH,PSA Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",149.00,6.00,3.40,0.00,0.74,0.00,1.86,0.00,1.00,235.00,120.00,0.00,23.00,0.00,92.00
2021,4,OO,SkyWest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",323.00,28.00,22.00,4.00,0.00,0.00,2.00,1.00,1.00,2138.00,1692.00,382.00,0.00,0.00,64.00
2021,4,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",1335.00,114.00,30.84,4.15,53.48,0.00,25.53,5.00,0.00,6638.00,1861.00,327.00,2014.00,0.00,2436.00
2021,4,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",150.00,15.00,4.14,0.00,2.33,0.99,7.54,0.00,0.00,665.00,196.00,0.00,68.00,93.00,308.00
2021,4,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",596.00,54.00,10.00,7.00,36.00,0.00,1.00,2.00,2.00,3114.00,469.00,696.00,1827.00,0.00,122.00
2021,4,YX,Republic Airline,IAD,"Washington, DC: Washington Dulles International",384.00,39.00,13.32,0.00,20.32,0.00,5.36,1.00,0.00,2410.00,1067.00,0.00,1080.00,0.00,263.00
2021,3,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",58.00,5.00,2.92,0.00,1.08,0.00,1.00,2.00,0.00,110.00,69.00,0.00,22.00,0.00,19.00
2021,3,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",31.00,4.00,1.00,0.00,2.00,0.00,1.00,2.00,0.00,80.00,24.00,0.00,33.00,0.00,23.00
2021,3,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",172.00,12.00,6.46,0.55,3.38,0.00,1.61,0.00,0.00,575.00,383.00,49.00,105.00,0.00,38.00
2021,3,F9,Frontier Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",14.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,127.00,127.00,0.00,0.00,0.00,0.00
2021,3,OH,PSA Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",114.00,11.00,2.11,0.09,4.24,0.00,4.57,0.00,1.00,833.00,161.00,5.00,156.00,0.00,511.00
2021,3,OO,SkyWest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",294.00,33.00,26.00,1.00,0.00,0.00,6.00,2.00,1.00,3182.00,2688.00,74.00,0.00,0.00,420.00
2021,3,UA,United Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",1357.00,97.00,28.22,3.16,42.88,0.00,22.74,19.00,0.00,4655.00,1536.00,215.00,1325.00,0.00,1579.00
2021,3,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",142.00,18.00,7.13,0.34,2.25,0.00,8.27,3.00,0.00,1262.00,233.00,82.00,143.00,0.00,804.00
2021,3,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",485.00,56.00,16.00,4.00,36.00,0.00,0.00,1.00,0.00,3158.00,1624.00,177.00,1357.00,0.00,0.00
2021,3,YX,Republic Airline,IAD,"Washington, DC: Washington Dulles International",579.00,51.00,14.03,1.00,23.73,0.00,12.24,1.00,0.00,2714.00,928.00,209.00,861.00,0.00,716.00
2021,2,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",37.00,2.00,1.05,0.00,0.35,0.00,0.60,5.00,0.00,113.00,50.00,0.00,7.00,0.00,56.00
2021,2,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",28.00,1.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,40.00,0.00,0.00,40.00,0.00,0.00
2021,2,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",136.00,8.00,3.15,1.90,2.07,0.00,0.87,4.00,0.00,374.00,200.00,61.00,49.00,0.00,64.00
2021,2,F9,Frontier Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
