year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",492.00,77.00,35.86,0.29,15.16,0.06,25.63,4.00,0.00,4691.00,2024.00,12.00,885.00,6.00,1764.00
2021,12,AS,Alaska Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",60.00,14.00,3.49,0.62,5.69,0.00,4.21,7.00,0.00,661.00,186.00,33.00,324.00,0.00,118.00
2021,12,B6,JetBlue Airways,IAH,"Houston, TX: George Bush Intercontinental/Houston",57.00,9.00,5.79,0.64,2.57,0.00,0.00,3.00,0.00,545.00,418.00,14.00,113.00,0.00,0.00
2021,12,DL,Delta Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",471.00,91.00,37.71,8.05,19.04,0.00,26.20,8.00,0.00,11076.00,5883.00,2065.00,697.00,0.00,2431.00
2021,12,F9,Frontier Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",93.00,21.00,8.62,0.00,3.83,0.00,8.55,0.00,1.00,1302.00,399.00,0.00,125.00,0.00,778.00
2021,12,MQ,Envoy Air,IAH,"Houston, TX: George Bush Intercontinental/Houston",82.00,13.00,5.60,0.89,3.75,0.00,2.75,0.00,0.00,624.00,213.00,56.00,222.00,0.00,133.00
2021,12,NK,Spirit Air Lines,IAH,"Houston, TX: George Bush Intercontinental/Houston",625.00,149.00,62.48,0.53,46.52,1.51,37.96,21.00,0.00,10147.00,3752.00,71.00,3045.00,80.00,3199.00
2021,12,OO,SkyWest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",1916.00,346.00,273.00,20.00,3.00,0.00,50.00,55.00,5.00,30348.00,24736.00,1554.00,284.00,0.00,3774.00
2021,12,UA,United Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",4842.00,782.00,345.71,7.64,154.28,0.00,274.37,140.00,6.00,52141.00,21281.00,701.00,6023.00,0.00,24136.00
2021,12,WN,Southwest Airlines Co.,IAH,"Houston, TX: George Bush Intercontinental/Houston",590.00,150.00,62.57,0.50,19.20,0.00,67.72,12.00,1.00,7184.00,2749.00,28.00,809.00,0.00,3598.00
2021,12,YV,Mesa Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",2025.00,291.00,138.12,6.74,36.65,5.14,104.34,88.00,7.00,31711.00,16767.00,880.00,1910.00,1102.00,11052.00
2021,12,YX,Republic Airline,IAH,"Houston, TX: George Bush Intercontinental/Houston",81.00,12.00,2.78,0.96,4.99,0.00,3.28,0.00,1.00,524.00,129.00,24.00,242.00,0.00,129.00
2021,11,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",577.00,115.00,53.87,0.00,23.87,0.21,37.05,9.00,0.00,7065.00,3326.00,0.00,1006.00,13.00,2720.00
2021,11,AS,Alaska Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",41.00,4.00,1.41,0.00,0.75,0.00,1.84,0.00,0.00,104.00,48.00,0.00,17.00,0.00,39.00
2021,11,B6,JetBlue Airways,IAH,"Houston, TX: George Bush Intercontinental/Houston",54.00,5.00,2.26,0.00,2.74,0.00,0.00,0.00,0.00,139.00,89.00,0.00,50.00,0.00,0.00
2021,11,DL,Delta Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",517.00,72.00,40.06,0.00,15.66,0.00,16.28,0.00,0.00,5082.00,3439.00,0.00,491.00,0.00,1152.00
2021,11,F9,Frontier Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",95.00,10.00,4.92,0.00,1.75,0.00,3.33,0.00,1.00,511.00,175.00,0.00,171.00,0.00,165.00
2021,11,MQ,Envoy Air,IAH,"Houston, TX: George Bush Intercontinental/Houston",56.00,7.00,0.94,0.74,2.64,0.00,2.68,0.00,0.00,203.00,26.00,29.00,52.00,0.00,96.00
2021,11,NK,Spirit Air Lines,IAH,"Houston, TX: George Bush Intercontinental/Houston",609.00,96.00,33.93,2.21,40.33,1.18,18.36,2.00,1.00,6399.00,1578.00,349.00,2836.00,147.00,1489.00
2021,11,OO,SkyWest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",1888.00,232.00,185.00,15.00,8.00,1.00,23.00,1.00,2.00,23412.00,17983.00,1739.00,1215.00,26.00,2449.00
2021,11,UA,United Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",4634.00,409.00,157.71,4.60,102.03,0.00,144.66,22.00,3.00,25534.00,12158.00,285.00,2797.00,0.00,10294.00
2021,11,WN,Southwest Airlines Co.,IAH,"Houston, TX: George Bush Intercontinental/Houston",586.00,69.00,31.61,0.00,9.31,0.70,27.39,1.00,3.00,2949.00,1398.00,0.00,449.00,14.00,1088.00
2021,11,YV,Mesa Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",2088.00,273.00,135.24,7.85,37.68,1.00,91.23,56.00,5.00,24865.00,12958.00,1586.00,2169.00,51.00,8101.00
2021,11,YX,Republic Airline,IAH,"Houston, TX: George Bush Intercontinental/Houston",93.00,13.00,2.19,0.00,7.91,0.00,2.90,1.00,1.00,534.00,72.00,0.00,277.00,0.00,185.00
2021,10,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",630.00,144.00,64.62,2.93,32.40,0.00,44.04,33.00,0.00,8967.00,4087.00,175.00,1534.00,0.00,3171.00
2021,10,AS,Alaska Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",31.00,5.00,3.88,0.00,1.12,0.00,0.00,0.00,0.00,167.00,149.00,0.00,18.00,0.00,0.00
2021,10,B6,JetBlue Airways,IAH,"Houston, TX: George Bush Intercontinental/Houston",79.00,15.00,8.47,0.00,6.51,0.00,0.02,0.00,0.00,758.00,433.00,0.00,324.00,0.00,1.00
2021,10,DL,Delta Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",537.00,93.00,45.92,1.92,27.85,0.60,16.71,0.00,2.00,4761.00,2913.00,141.00,1021.00,48.00,638.00
2021,10,F9,Frontier Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",109.00,27.00,10.03,0.27,8.61,0.00,8.10,1.00,0.00,1275.00,384.00,11.00,395.00,0.00,485.00
2021,10,MQ,Envoy Air,IAH,"Houston, TX: George Bush Intercontinental/Houston",40.00,10.00,1.26,1.25,6.73,0.00,0.77,0.00,0.00,485.00,85.00,69.00,251.00,0.00,80.00
