year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1162.00,93.00,43.30,2.24,27.88,0.00,19.58,3.00,0.00,6641.00,3624.00,240.00,853.00,0.00,1924.00
2021,12,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1367.00,228.00,92.74,3.42,61.99,1.48,68.37,19.00,1.00,18546.00,6362.00,162.00,1794.00,30.00,10198.00
2021,12,AS,Alaska Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",333.00,76.00,39.38,5.57,15.90,0.00,15.15,12.00,0.00,5484.00,2846.00,861.00,795.00,0.00,982.00
2021,12,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",3482.00,1205.00,429.52,9.11,356.11,9.38,400.87,133.00,7.00,82455.00,33868.00,790.00,13316.00,310.00,34171.00
2021,12,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",1877.00,288.00,120.79,19.50,49.09,2.59,96.03,45.00,1.00,26449.00,15017.00,1748.00,1577.00,104.00,8003.00
2021,12,HA,Hawaiian Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",31.00,5.00,3.00,0.00,0.00,0.00,2.00,0.00,1.00,247.00,210.00,0.00,0.00,0.00,37.00
2021,12,UA,United Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",121.00,14.00,8.46,0.00,1.11,0.00,4.43,7.00,0.00,759.00,297.00,0.00,26.00,0.00,436.00
2021,12,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",1679.00,181.00,55.55,8.02,80.55,0.43,36.45,0.00,0.00,7913.00,2944.00,608.00,2308.00,9.00,2044.00
2021,11,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1243.00,113.00,39.93,5.23,36.08,0.00,31.76,1.00,1.00,7200.00,3376.00,317.00,1567.00,0.00,1940.00
2021,11,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1337.00,252.00,117.82,0.00,78.31,4.48,51.39,29.00,2.00,15598.00,8691.00,0.00,2557.00,228.00,4122.00
2021,11,AS,Alaska Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",298.00,34.00,17.34,0.00,13.75,0.00,2.92,3.00,1.00,2093.00,1268.00,0.00,546.00,0.00,279.00
2021,11,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",3439.00,900.00,330.52,5.83,336.11,3.24,224.30,5.00,3.00,50481.00,20301.00,3036.00,10816.00,212.00,16116.00
2021,11,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",1861.00,234.00,102.76,1.75,65.36,1.86,62.27,1.00,5.00,17818.00,9472.00,600.00,2070.00,70.00,5606.00
2021,11,HA,Hawaiian Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",29.00,7.00,6.27,0.00,0.00,0.00,0.73,0.00,0.00,179.00,168.00,0.00,0.00,0.00,11.00
2021,11,UA,United Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",118.00,19.00,10.04,0.00,4.41,0.00,4.55,1.00,0.00,2749.00,1341.00,0.00,142.00,0.00,1266.00
