year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",1170.00,228.00,79.25,3.02,79.78,2.08,63.87,3.00,1.00,12093.00,4897.00,138.00,2652.00,168.00,4238.00
2021,12,AS,Alaska Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",380.00,111.00,42.39,4.94,36.05,0.00,27.62,23.00,0.00,5757.00,1977.00,637.00,1598.00,0.00,1545.00
2021,12,B6,JetBlue Airways,LAS,"Las Vegas, NV: McCarran International",222.00,76.00,35.69,0.25,27.37,0.64,12.05,4.00,7.00,4714.00,2872.00,11.00,1161.00,30.00,640.00
2021,12,DL,Delta Air Lines Inc.,LAS,"Las Vegas, NV: McCarran International",1007.00,260.00,104.45,11.35,108.92,0.00,35.28,34.00,4.00,15209.00,6645.00,1585.00,4794.00,0.00,2185.00
2021,12,F9,Frontier Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",1368.00,464.00,103.30,2.12,198.82,0.00,159.77,18.00,0.00,34367.00,8280.00,106.00,9847.00,0.00,16134.00
2021,12,G4,Allegiant Air,LAS,"Las Vegas, NV: McCarran International",855.00,371.00,63.56,7.30,137.59,0.08,162.47,44.00,1.00,24770.00,6218.00,649.00,7027.00,6.00,10870.00
2021,12,HA,Hawaiian Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",112.00,35.00,29.88,0.22,0.00,0.00,4.90,0.00,0.00,1367.00,1216.00,4.00,0.00,0.00,147.00
2021,12,NK,Spirit Air Lines,LAS,"Las Vegas, NV: McCarran International",1480.00,447.00,110.01,12.67,205.56,5.50,113.26,76.00,1.00,26766.00,6659.00,1215.00,10998.00,298.00,7596.00
2021,12,OO,SkyWest Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",212.00,70.00,36.00,20.00,2.00,0.00,12.00,8.00,0.00,4315.00,2175.00,1314.00,238.00,0.00,588.00
2021,12,QX,Horizon Air,LAS,"Las Vegas, NV: McCarran International",86.00,16.00,9.20,0.00,4.00,0.00,2.80,4.00,0.00,791.00,515.00,0.00,115.00,0.00,161.00
2021,12,UA,United Air Lines Inc.,LAS,"Las Vegas, NV: McCarran International",963.00,255.00,108.31,4.40,63.45,0.00,78.84,27.00,3.00,14182.00,5558.00,281.00,2681.00,0.00,5662.00
2021,12,WN,Southwest Airlines Co.,LAS,"Las Vegas, NV: McCarran International",5067.00,1613.00,533.70,13.58,355.33,8.76,701.64,58.00,4.00,81591.00,25629.00,1280.00,14627.00,396.00,39659.00
2021,11,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",1156.00,187.00,75.64,2.32,23.14,2.90,83.00,13.00,0.00,10883.00,4156.00,209.00,849.00,87.00,5582.00
2021,11,AS,Alaska Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",367.00,80.00,31.01,1.41,26.96,0.00,20.61,3.00,0.00,3612.00,1870.00,28.00,927.00,0.00,787.00
2021,11,B6,JetBlue Airways,LAS,"Las Vegas, NV: McCarran International",230.00,26.00,14.38,1.00,3.31,1.00,6.32,0.00,0.00,1294.00,690.00,175.00,116.00,67.00,246.00
2021,11,DL,Delta Air Lines Inc.,LAS,"Las Vegas, NV: McCarran International",1018.00,79.00,43.05,0.68,23.60,0.69,10.99,0.00,0.00,4251.00,2610.00,38.00,732.00,42.00,829.00
2021,11,F9,Frontier Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",1324.00,257.00,61.56,1.59,83.29,0.00,110.55,0.00,0.00,17824.00,5214.00,94.00,3147.00,0.00,9369.00
2021,11,G4,Allegiant Air,LAS,"Las Vegas, NV: McCarran International",776.00,208.00,52.44,0.74,43.05,1.50,110.27,18.00,1.00,13275.00,4132.00,39.00,1734.00,71.00,7299.00
