year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2770.00,587.00,220.35,6.97,221.28,5.45,132.95,16.00,8.00,38160.00,17691.00,589.00,7911.00,390.00,11579.00
2021,12,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",884.00,284.00,89.63,7.19,103.90,4.00,79.27,33.00,4.00,18757.00,6436.00,723.00,4573.00,214.00,6811.00
2021,12,B6,JetBlue Airways,LAX,"Los Angeles, CA: Los Angeles International",851.00,298.00,115.28,0.31,132.42,1.00,49.00,36.00,11.00,20468.00,9802.00,60.00,5721.00,40.00,4845.00
2021,12,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2345.00,697.00,199.03,24.60,364.09,3.00,106.29,59.00,4.00,56310.00,22699.00,4033.00,17482.00,130.00,11966.00
2021,12,G4,Allegiant Air,LAX,"Los Angeles, CA: Los Angeles International",115.00,49.00,13.27,1.86,24.17,0.00,9.71,16.00,1.00,2163.00,616.00,59.00,1007.00,0.00,481.00
2021,12,HA,Hawaiian Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",202.00,41.00,29.34,0.52,0.42,0.05,10.66,6.00,0.00,1630.00,1061.00,23.00,14.00,1.00,531.00
2021,12,NK,Spirit Air Lines,LAX,"Los Angeles, CA: Los Angeles International",817.00,309.00,85.27,1.94,180.21,1.27,40.32,56.00,3.00,19740.00,6687.00,144.00,9753.00,51.00,3105.00
2021,12,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3870.00,1122.00,706.00,162.00,20.00,2.00,232.00,184.00,5.00,100702.00,57335.00,19713.00,3767.00,52.00,19835.00
2021,12,QX,Horizon Air,LAX,"Los Angeles, CA: Los Angeles International",210.00,92.00,15.68,2.18,49.56,0.00,24.57,5.00,0.00,4608.00,784.00,175.00,1789.00,0.00,1860.00
2021,12,UA,United Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2119.00,479.00,239.87,3.71,135.04,0.00,100.39,84.00,6.00,31491.00,16440.00,415.00,5142.00,0.00,9494.00
2021,12,WN,Southwest Airlines Co.,LAX,"Los Angeles, CA: Los Angeles International",2017.00,686.00,292.17,2.84,137.50,1.95,251.55,12.00,4.00,33697.00,13438.00,260.00,5430.00,54.00,14515.00
2021,11,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2733.00,352.00,168.62,4.37,55.65,6.25,117.11,23.00,1.00,22931.00,10896.00,296.00,1820.00,247.00,9672.00
2021,11,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",808.00,165.00,50.55,1.42,61.81,0.00,51.22,9.00,2.00,9025.00,3624.00,42.00,2096.00,0.00,3263.00
2021,11,B6,JetBlue Airways,LAX,"Los Angeles, CA: Los Angeles International",806.00,74.00,42.21,0.22,8.69,1.61,21.27,0.00,1.00,5787.00,3834.00,48.00,308.00,47.00,1550.00
2021,11,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2359.00,256.00,92.82,4.25,112.70,4.88,41.36,0.00,1.00,14074.00,6936.00,177.00,3693.00,174.00,3094.00
2021,11,G4,Allegiant Air,LAX,"Los Angeles, CA: Los Angeles International",113.00,25.00,7.59,0.00,4.73,0.00,12.68,6.00,3.00,1455.00,416.00,0.00,160.00,0.00,879.00
2021,11,HA,Hawaiian Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",186.00,27.00,24.45,0.00,0.00,0.75,1.80,0.00,2.00,840.00,728.00,0.00,0.00,15.00,97.00
2021,11,NK,Spirit Air Lines,LAX,"Los Angeles, CA: Los Angeles International",865.00,139.00,53.35,0.55,60.95,0.42,23.73,8.00,0.00,8158.00,3340.00,97.00,3211.00,13.00,1497.00
2021,11,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",4124.00,552.00,351.00,61.00,10.00,2.00,128.00,25.00,5.00,45732.00,28626.00,5449.00,691.00,279.00,10687.00
2021,11,QX,Horizon Air,LAX,"Los Angeles, CA: Los Angeles International",243.00,26.00,5.97,0.00,11.04,0.00,8.98,1.00,0.00,1749.00,876.00,0.00,327.00,0.00,546.00
2021,11,UA,United Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",1909.00,176.00,98.62,1.65,21.07,0.00,54.66,8.00,0.00,13455.00,6261.00,121.00,566.00,0.00,6507.00
2021,11,WN,Southwest Airlines Co.,LAX,"Los Angeles, CA: Los Angeles International",2031.00,345.00,170.33,0.00,23.06,2.13,149.47,10.00,3.00,15213.00,7164.00,0.00,953.00,95.00,7001.00
2021,10,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2770.00,505.00,239.44,8.62,127.68,7.92,121.35,72.00,10.00,40974.00,23301.00,537.00,4565.00,327.00,12244.00
2021,10,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",743.00,136.00,43.38,0.80,63.84,0.00,27.98,7.00,0.00,5119.00,2167.00,21.00,1700.00,0.00,1231.00
2021,10,B6,JetBlue Airways,LAX,"Los Angeles, CA: Los Angeles International",932.00,231.00,91.84,2.86,84.54,0.79,50.96,2.00,4.00,13017.00,6683.00,140.00,3119.00,49.00,3026.00
2021,10,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2494.00,433.00,163.09,5.43,221.58,3.00,39.89,2.00,5.00,24610.00,13536.00,292.00,7317.00,58.00,3407.00
2021,10,F9,Frontier Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",,,,,,,,,,,,,,,
2021,10,G4,Allegiant Air,LAX,"Los Angeles, CA: Los Angeles International",99.00,23.00,4.67,0.00,10.47,0.00,7.86,2.00,1.00,1184.00,239.00,0.00,387.00,0.00,558.00
2021,10,HA,Hawaiian Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",186.00,10.00,9.00,1.00,0.00,0.00,0.00,0.00,0.00,530.00,496.00,34.00,0.00,0.00,0.00
2021,10,NK,Spirit Air Lines,LAX,"Los Angeles, CA: Los Angeles International",874.00,133.00,41.77,4.06,58.66,2.93,25.58,22.00,4.00,6563.00,2070.00,199.00,2471.00,85.00,1738.00
2021,10,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",4551.00,933.00,520.00,87.00,25.00,1.00,300.00,152.00,11.00,80905.00,42089.00,7813.00,1478.00,147.00,29378.00
2021,10,QX,Horizon Air,LAX,"Los Angeles, CA: Los Angeles International",290.00,44.00,18.74,0.08,17.45,0.00,7.74,1.00,0.00,2255.00,941.00,4.00,610.00,0.00,700.00
2021,10,UA,United Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2006.00,309.00,136.35,8.64,84.62,0.00,79.40,7.00,8.00,16325.00,6758.00,422.00,2853.00,0.00,6292.00
2021,10,WN,Southwest Airlines Co.,LAX,"Los Angeles, CA: Los Angeles International",2081.00,652.00,289.04,2.51,59.75,3.89,296.81,50.00,9.00,32318.00,13639.00,104.00,2384.00,384.00,15807.00
2021,9,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2632.00,281.00,121.51,17.58,60.33,0.87,80.71,10.00,1.00,19300.00,9243.00,1251.00,2727.00,85.00,5994.00
2021,9,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",768.00,137.00,47.63,1.38,54.51,0.00,33.49,5.00,1.00,6156.00,2708.00,254.00,1449.00,0.00,1745.00
2021,9,B6,JetBlue Airways,LAX,"Los Angeles, CA: Los Angeles International",913.00,186.00,74.85,5.15,47.66,2.00,56.34,14.00,3.00,11971.00,5226.00,759.00,1845.00,45.00,4096.00
2021,9,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2406.00,226.00,103.34,4.72,76.86,3.47,37.62,29.00,3.00,13258.00,7091.00,204.00,2249.00,104.00,3610.00
2021,9,F9,Frontier Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",13.00,1.00,0.64,0.00,0.36,0.00,0.00,0.00,0.00,53.00,34.00,0.00,19.00,0.00,0.00
2021,9,G4,Allegiant Air,LAX,"Los Angeles, CA: Los Angeles International",79.00,20.00,8.78,0.21,4.56,0.24,6.20,0.00,0.00,702.00,391.00,7.00,109.00,8.00,187.00
2021,9,HA,Hawaiian Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",186.00,35.00,32.09,0.00,0.00,0.42,2.49,0.00,0.00,873.00,789.00,0.00,0.00,9.00,75.00
2021,9,NK,Spirit Air Lines,LAX,"Los Angeles, CA: Los Angeles International",918.00,120.00,40.78,2.21,49.55,0.00,27.46,5.00,3.00,7564.00,3144.00,236.00,2349.00,0.00,1835.00
2021,9,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",4482.00,471.00,258.00,42.00,11.00,0.00,160.00,11.00,3.00,34307.00,16914.00,3098.00,1412.00,0.00,12883.00
2021,9,QX,Horizon Air,LAX,"Los Angeles, CA: Los Angeles International",295.00,43.00,15.28,0.00,9.64,0.00,18.08,3.00,0.00,2167.00,1003.00,0.00,224.00,0.00,940.00
2021,9,UA,United Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",1783.00,214.00,92.04,9.77,51.87,0.00,60.32,24.00,2.00,15624.00,6495.00,1138.00,1804.00,0.00,6187.00
2021,9,WN,Southwest Airlines Co.,LAX,"Los Angeles, CA: Los Angeles International",1954.00,325.00,153.87,2.27,29.07,1.43,138.35,28.00,2.00,15429.00,7199.00,136.00,1243.00,59.00,6792.00
2021,8,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2932.00,546.00,235.89,34.64,93.28,6.15,176.03,65.00,2.00,39614.00,17237.00,3182.00,3794.00,260.00,15141.00
2021,8,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",780.00,137.00,56.50,2.16,34.36,1.00,42.97,4.00,1.00,5993.00,2657.00,178.00,1126.00,18.00,2014.00
2021,8,B6,JetBlue Airways,LAX,"Los Angeles, CA: Los Angeles International",1099.00,313.00,142.38,5.01,56.93,1.00,107.69,14.00,0.00,20969.00,9294.00,506.00,2712.00,185.00,8272.00
2021,8,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2587.00,406.00,166.29,15.08,140.46,2.82,81.35,7.00,3.00,26013.00,12666.00,962.00,5120.00,139.00,7126.00
2021,8,F9,Frontier Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",14.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,81.00,0.00,0.00,0.00,0.00,81.00
