year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2259.00,174.00,49.06,4.80,75.72,0.00,44.42,4.00,2.00,11040.00,3392.00,449.00,3826.00,0.00,3373.00
2021,12,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",1946.00,294.00,109.63,3.16,97.85,3.01,80.35,30.00,0.00,15900.00,6047.00,295.00,4032.00,161.00,5365.00
2021,12,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",923.00,257.00,88.58,0.00,97.66,1.50,69.26,46.00,0.00,17230.00,6699.00,0.00,4334.00,61.00,6136.00
2021,12,DL,Delta Air Lines Inc.,LGA,"New York, NY: LaGuardia",1976.00,251.00,110.38,8.07,57.66,0.00,74.88,36.00,2.00,16578.00,8252.00,432.00,2474.00,0.00,5420.00
2021,12,F9,Frontier Airlines Inc.,LGA,"New York, NY: LaGuardia",90.00,23.00,11.45,0.00,5.39,0.00,6.15,3.00,0.00,1089.00,494.00,0.00,214.00,0.00,381.00
2021,12,NK,Spirit Air Lines,LGA,"New York, NY: LaGuardia",378.00,66.00,25.30,0.00,26.98,2.40,11.32,17.00,0.00,3154.00,1137.00,0.00,1267.00,84.00,666.00
2021,12,OO,SkyWest Airlines Inc.,LGA,"New York, NY: LaGuardia",151.00,25.00,20.00,0.00,2.00,0.00,3.00,4.00,0.00,1255.00,1000.00,0.00,159.00,0.00,96.00
2021,12,UA,United Air Lines Inc.,LGA,"New York, NY: LaGuardia",465.00,101.00,34.00,1.00,16.49,0.40,49.12,9.00,0.00,6262.00,2096.00,17.00,632.00,48.00,3469.00
2021,12,WN,Southwest Airlines Co.,LGA,"New York, NY: LaGuardia",1083.00,258.00,87.00,2.29,47.23,1.04,120.43,6.00,1.00,12816.00,4367.00,110.00,1991.00,39.00,6309.00
2021,12,YV,Mesa Airlines Inc.,LGA,"New York, NY: LaGuardia",185.00,47.00,34.00,1.00,6.00,0.00,6.00,7.00,0.00,3130.00,2333.00,66.00,311.00,0.00,420.00
2021,12,YX,Republic Airline,LGA,"New York, NY: LaGuardia",3579.00,394.00,123.29,29.58,155.52,2.00,83.62,6.00,1.00,24204.00,9493.00,1984.00,6818.00,71.00,5838.00
2021,11,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2321.00,282.00,63.23,9.00,136.71,0.00,73.06,1.00,6.00,14199.00,5325.00,672.00,4084.00,0.00,4118.00
2021,11,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",1997.00,366.00,157.42,6.06,98.21,1.88,102.42,58.00,8.00,19882.00,9721.00,216.00,3085.00,93.00,6767.00
2021,11,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",959.00,252.00,69.20,0.00,120.42,1.11,61.27,7.00,4.00,14686.00,4813.00,0.00,5044.00,39.00,4790.00
