year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1517.00,271.00,112.27,2.04,62.57,1.46,92.66,4.00,1.00,12870.00,5068.00,150.00,2016.00,107.00,5529.00
2021,12,AS,Alaska Airlines Inc.,MCO,"Orlando, FL: Orlando International",171.00,53.00,18.38,6.38,24.07,0.00,4.17,6.00,0.00,2955.00,1161.00,541.00,977.00,0.00,276.00
2021,12,B6,JetBlue Airways,MCO,"Orlando, FL: Orlando International",1279.00,444.00,219.12,0.03,73.84,2.24,148.77,54.00,1.00,30795.00,14871.00,5.00,2984.00,122.00,12813.00
2021,12,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1561.00,309.00,162.21,11.54,79.38,2.55,53.32,31.00,2.00,20332.00,12510.00,1563.00,3057.00,170.00,3032.00
2021,12,F9,Frontier Airlines Inc.,MCO,"Orlando, FL: Orlando International",1653.00,565.00,158.32,2.91,173.38,0.00,230.38,38.00,2.00,40827.00,13209.00,312.00,8605.00,0.00,18701.00
2021,12,HA,Hawaiian Airlines Inc.,MCO,"Orlando, FL: Orlando International",12.00,7.00,6.77,0.00,0.00,0.00,0.23,0.00,0.00,266.00,256.00,0.00,0.00,0.00,10.00
2021,12,NK,Spirit Air Lines,MCO,"Orlando, FL: Orlando International",1958.00,542.00,150.07,6.89,239.96,10.98,134.10,92.00,2.00,33897.00,10778.00,294.00,11793.00,488.00,10544.00
2021,12,UA,United Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1249.00,263.00,133.58,1.83,43.88,0.00,83.71,49.00,2.00,16313.00,7603.00,195.00,1609.00,0.00,6906.00
2021,12,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3101.00,683.00,268.30,1.48,97.34,2.27,313.61,19.00,1.00,34551.00,13171.00,89.00,3387.00,254.00,17650.00
2021,12,YX,Republic Airline,MCO,"Orlando, FL: Orlando International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,11,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1446.00,253.00,104.77,1.59,60.06,2.20,84.39,18.00,0.00,14460.00,6912.00,70.00,1765.00,105.00,5608.00
2021,11,AS,Alaska Airlines Inc.,MCO,"Orlando, FL: Orlando International",151.00,37.00,10.99,0.69,20.42,0.00,4.90,0.00,0.00,1105.00,458.00,11.00,532.00,0.00,104.00
2021,11,B6,JetBlue Airways,MCO,"Orlando, FL: Orlando International",1094.00,297.00,154.20,0.95,66.93,3.48,71.45,0.00,1.00,17792.00,9930.00,110.00,2288.00,84.00,5380.00
