year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,MDW,"Chicago, IL: Chicago Midway International",234.00,28.00,11.33,2.15,11.17,0.00,3.35,7.00,0.00,2383.00,668.00,726.00,458.00,0.00,531.00
2021,12,DL,Delta Air Lines Inc.,MDW,"Chicago, IL: Chicago Midway International",109.00,20.00,9.77,0.45,4.79,0.00,5.00,3.00,0.00,1072.00,444.00,25.00,238.00,0.00,365.00
2021,12,G4,Allegiant Air,MDW,"Chicago, IL: Chicago Midway International",27.00,5.00,2.34,0.00,2.04,0.00,0.63,1.00,0.00,153.00,65.00,0.00,48.00,0.00,40.00
2021,12,WN,Southwest Airlines Co.,MDW,"Chicago, IL: Chicago Midway International",4797.00,999.00,396.34,6.08,137.86,5.15,453.58,78.00,22.00,46979.00,17341.00,731.00,6493.00,160.00,22254.00
2021,11,9E,Endeavor Air Inc.,MDW,"Chicago, IL: Chicago Midway International",241.00,20.00,9.34,0.00,8.04,0.00,2.62,0.00,0.00,599.00,278.00,0.00,213.00,0.00,108.00
2021,11,DL,Delta Air Lines Inc.,MDW,"Chicago, IL: Chicago Midway International",96.00,10.00,5.27,0.00,1.73,1.00,1.99,1.00,0.00,332.00,173.00,0.00,41.00,76.00,42.00
2021,11,G4,Allegiant Air,MDW,"Chicago, IL: Chicago Midway International",33.00,8.00,2.96,0.00,5.04,0.00,0.00,0.00,0.00,420.00,279.00,0.00,141.00,0.00,0.00
2021,11,OO,SkyWest Airlines Inc.,MDW,"Chicago, IL: Chicago Midway International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,11,WN,Southwest Airlines Co.,MDW,"Chicago, IL: Chicago Midway International",4961.00,832.00,360.54,2.54,112.65,7.62,348.65,16.00,5.00,34387.00,14624.00,165.00,3059.00,210.00,16329.00
2021,10,9E,Endeavor Air Inc.,MDW,"Chicago, IL: Chicago Midway International",256.00,27.00,11.68,1.51,11.37,0.00,2.44,0.00,1.00,1055.00,498.00,40.00,417.00,0.00,100.00
2021,10,DL,Delta Air Lines Inc.,MDW,"Chicago, IL: Chicago Midway International",85.00,14.00,5.53,0.00,3.69,0.00,4.78,0.00,0.00,742.00,389.00,0.00,220.00,0.00,133.00
