year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,MIA,"Miami, FL: Miami International",15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,12,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",5387.00,1042.00,358.61,9.86,333.53,6.82,333.19,52.00,6.00,84647.00,39026.00,956.00,11500.00,327.00,32838.00
2021,12,B6,JetBlue Airways,MIA,"Miami, FL: Miami International",344.00,135.00,75.29,1.23,29.42,0.00,29.06,10.00,0.00,10048.00,6166.00,39.00,1667.00,0.00,2176.00
2021,12,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",733.00,147.00,67.21,5.44,50.39,0.00,23.96,10.00,1.00,8903.00,4781.00,745.00,2231.00,0.00,1146.00
2021,12,F9,Frontier Airlines Inc.,MIA,"Miami, FL: Miami International",418.00,168.00,50.23,0.19,44.50,0.00,73.08,11.00,1.00,11422.00,3565.00,17.00,2345.00,0.00,5495.00
2021,12,MQ,Envoy Air,MIA,"Miami, FL: Miami International",1528.00,243.00,78.91,9.85,50.85,0.69,102.70,15.00,1.00,13792.00,5430.00,1307.00,2052.00,21.00,4982.00
2021,12,NK,Spirit Air Lines,MIA,"Miami, FL: Miami International",610.00,100.00,35.09,1.91,29.25,1.81,31.94,29.00,0.00,6391.00,2057.00,141.00,1920.00,57.00,2216.00
2021,12,UA,United Air Lines Inc.,MIA,"Miami, FL: Miami International",554.00,160.00,71.52,0.00,27.45,0.00,61.03,24.00,3.00,9635.00,3718.00,0.00,1304.00,0.00,4613.00
2021,12,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",704.00,208.00,92.23,0.54,40.84,0.00,74.39,5.00,0.00,9815.00,3927.00,68.00,1764.00,0.00,4056.00
2021,12,YV,Mesa Airlines Inc.,MIA,"Miami, FL: Miami International",13.00,2.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,79.00,79.00,0.00,0.00,0.00,0.00
2021,12,YX,Republic Airline,MIA,"Miami, FL: Miami International",63.00,10.00,0.21,2.00,7.05,0.00,0.74,0.00,0.00,293.00,9.00,87.00,162.00,0.00,35.00
2021,11,9E,Endeavor Air Inc.,MIA,"Miami, FL: Miami International",29.00,5.00,1.99,0.00,1.11,0.00,1.90,0.00,0.00,354.00,118.00,0.00,26.00,0.00,210.00
2021,11,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",5185.00,1149.00,402.72,6.76,395.91,6.14,337.46,109.00,12.00,76112.00,35450.00,401.00,13470.00,160.00,26631.00
2021,11,B6,JetBlue Airways,MIA,"Miami, FL: Miami International",340.00,88.00,45.40,0.00,25.20,0.60,16.80,0.00,0.00,4193.00,2087.00,0.00,855.00,137.00,1114.00
2021,11,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",671.00,142.00,55.04,0.02,61.08,1.00,24.86,0.00,0.00,6068.00,3042.00,1.00,1818.00,108.00,1099.00
2021,11,F9,Frontier Airlines Inc.,MIA,"Miami, FL: Miami International",415.00,130.00,26.27,0.41,44.38,0.00,58.94,2.00,1.00,7650.00,1397.00,11.00,1617.00,0.00,4625.00
2021,11,MQ,Envoy Air,MIA,"Miami, FL: Miami International",1267.00,257.00,87.07,3.91,61.16,1.56,103.29,0.00,0.00,12833.00,4872.00,555.00,2225.00,65.00,5116.00
2021,11,NK,Spirit Air Lines,MIA,"Miami, FL: Miami International",347.00,67.00,16.77,1.00,24.65,0.47,24.12,1.00,0.00,4453.00,1295.00,29.00,1007.00,19.00,2103.00
2021,11,UA,United Air Lines Inc.,MIA,"Miami, FL: Miami International",499.00,118.00,56.28,0.00,34.22,0.00,27.50,3.00,0.00,5838.00,2658.00,0.00,1114.00,0.00,2066.00
2021,11,WN,Southwest Airlines Co.,MIA,"Miami, FL: Miami International",676.00,152.00,66.99,2.19,34.44,0.00,48.38,0.00,0.00,6821.00,2988.00,93.00,979.00,0.00,2761.00
2021,11,YV,Mesa Airlines Inc.,MIA,"Miami, FL: Miami International",27.00,4.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,290.00,290.00,0.00,0.00,0.00,0.00
2021,11,YX,Republic Airline,MIA,"Miami, FL: Miami International",32.00,14.00,3.68,0.00,9.43,0.00,0.89,0.00,0.00,543.00,279.00,0.00,248.00,0.00,16.00
2021,10,9E,Endeavor Air Inc.,MIA,"Miami, FL: Miami International",31.00,4.00,2.72,0.00,1.06,0.00,0.22,0.00,0.00,373.00,305.00,0.00,50.00,0.00,18.00
2021,10,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4293.00,775.00,307.74,12.49,162.97,4.92,286.88,151.00,4.00,61960.00,26518.00,676.00,6360.00,213.00,28193.00
2021,10,B6,JetBlue Airways,MIA,"Miami, FL: Miami International",404.00,82.00,42.05,1.71,22.68,0.00,15.56,0.00,3.00,4393.00,2392.00,101.00,850.00,0.00,1050.00
2021,10,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",664.00,89.00,40.69,1.40,31.92,1.00,13.99,0.00,2.00,4683.00,2556.00,67.00,1244.00,33.00,783.00
