year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",1125.00,207.00,37.10,10.16,81.05,0.00,78.70,28.00,0.00,18895.00,4114.00,4131.00,2903.00,0.00,7747.00
2021,12,AA,American Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",311.00,56.00,21.26,1.00,10.13,0.66,22.96,4.00,0.00,5222.00,1846.00,672.00,371.00,23.00,2310.00
2021,12,AS,Alaska Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",31.00,3.00,0.00,0.12,2.05,0.00,0.82,6.00,0.00,172.00,0.00,10.00,148.00,0.00,14.00
2021,12,B6,JetBlue Airways,MSP,"Minneapolis, MN: Minneapolis-St Paul International",49.00,14.00,5.02,0.77,6.15,0.00,2.06,5.00,2.00,741.00,279.00,54.00,274.00,0.00,134.00
2021,12,DL,Delta Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",4391.00,830.00,303.14,32.85,183.88,1.00,309.13,153.00,20.00,70297.00,31890.00,6681.00,8594.00,37.00,23095.00
2021,12,F9,Frontier Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",54.00,5.00,2.08,0.24,0.60,0.00,2.09,0.00,0.00,222.00,93.00,16.00,30.00,0.00,83.00
2021,12,G4,Allegiant Air,MSP,"Minneapolis, MN: Minneapolis-St Paul International",38.00,10.00,2.32,0.95,4.63,0.00,2.10,2.00,0.00,1005.00,325.00,286.00,149.00,0.00,245.00
2021,12,MQ,Envoy Air,MSP,"Minneapolis, MN: Minneapolis-St Paul International",29.00,11.00,2.41,1.00,5.16,1.00,1.44,0.00,0.00,369.00,164.00,17.00,124.00,19.00,45.00
2021,12,NK,Spirit Air Lines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",135.00,44.00,18.48,0.00,13.99,2.24,9.28,13.00,1.00,2765.00,1150.00,0.00,818.00,101.00,696.00
2021,12,OH,PSA Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",46.00,17.00,6.38,0.00,6.58,0.03,4.01,1.00,0.00,1152.00,429.00,0.00,217.00,10.00,496.00
