year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",37.00,2.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,79.00,79.00,0.00,0.00,0.00,0.00
2021,12,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4112.00,565.00,186.45,11.78,139.84,4.85,222.08,36.00,5.00,44656.00,17064.00,849.00,5185.00,139.00,21419.00
2021,12,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",189.00,43.00,22.37,2.78,8.39,0.00,9.47,9.00,0.00,2543.00,1239.00,385.00,391.00,0.00,528.00
2021,12,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",105.00,28.00,19.76,0.89,4.70,0.00,2.65,4.00,0.00,1964.00,1452.00,115.00,177.00,0.00,220.00
2021,12,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",901.00,207.00,91.76,9.37,66.74,0.56,38.58,17.00,3.00,11989.00,5713.00,1020.00,2559.00,49.00,2648.00
2021,12,F9,Frontier Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",186.00,65.00,31.57,0.00,13.60,0.00,19.83,3.00,0.00,4206.00,1882.00,0.00,701.00,0.00,1623.00
2021,12,MQ,Envoy Air,ORD,"Chicago, IL: Chicago O'Hare International",3241.00,441.00,130.21,30.39,156.12,1.40,122.88,51.00,3.00,32158.00,10851.00,3718.00,7038.00,33.00,10518.00
2021,12,NK,Spirit Air Lines,ORD,"Chicago, IL: Chicago O'Hare International",522.00,131.00,45.70,2.53,45.98,0.78,36.01,18.00,0.00,7208.00,2735.00,91.00,2068.00,28.00,2286.00
2021,12,OO,SkyWest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",5855.00,999.00,631.00,30.00,26.00,0.00,312.00,238.00,9.00,100895.00,57002.00,5372.00,4907.00,0.00,33614.00
2021,12,QX,Horizon Air,ORD,"Chicago, IL: Chicago O'Hare International",23.00,5.00,1.68,0.89,2.44,0.00,0.00,1.00,0.00,471.00,195.00,133.00,143.00,0.00,0.00
2021,12,UA,United Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",5034.00,890.00,382.12,12.38,204.67,0.05,290.78,149.00,3.00,57362.00,23066.00,816.00,8231.00,17.00,25232.00
2021,12,WN,Southwest Airlines Co.,ORD,"Chicago, IL: Chicago O'Hare International",806.00,294.00,97.20,2.01,117.24,0.80,76.74,12.00,2.00,15484.00,5591.00,113.00,4608.00,28.00,5144.00
2021,12,YV,Mesa Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",423.00,58.00,27.00,3.00,10.00,0.00,18.00,2.00,1.00,5257.00,3249.00,194.00,435.00,0.00,1379.00
2021,12,YX,Republic Airline,ORD,"Chicago, IL: Chicago O'Hare International",1249.00,150.00,38.71,4.51,80.33,0.38,26.06,5.00,0.00,7514.00,2422.00,400.00,2988.00,13.00,1691.00
2021,11,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",57.00,6.00,2.88,0.64,2.48,0.00,0.00,0.00,0.00,212.00,127.00,30.00,55.00,0.00,0.00
2021,11,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4171.00,521.00,231.66,4.55,85.88,3.42,195.49,90.00,2.00,37291.00,19302.00,130.00,2403.00,165.00,15291.00
2021,11,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",220.00,35.00,16.99,0.09,8.45,0.00,9.47,3.00,0.00,1526.00,886.00,4.00,311.00,0.00,325.00
2021,11,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",108.00,20.00,11.60,0.00,6.12,0.00,2.28,0.00,0.00,1269.00,789.00,0.00,196.00,0.00,284.00
2021,11,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",1027.00,142.00,73.33,1.34,37.00,0.94,29.39,0.00,0.00,8897.00,5800.00,31.00,996.00,97.00,1973.00
2021,11,F9,Frontier Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",195.00,27.00,12.65,0.00,9.43,0.00,4.93,0.00,0.00,971.00,501.00,0.00,266.00,0.00,204.00
2021,11,MQ,Envoy Air,ORD,"Chicago, IL: Chicago O'Hare International",3417.00,277.00,100.33,3.28,83.64,1.35,88.41,10.00,3.00,18840.00,7885.00,228.00,2410.00,65.00,8252.00
2021,11,NK,Spirit Air Lines,ORD,"Chicago, IL: Chicago O'Hare International",559.00,103.00,27.17,1.33,50.68,1.50,22.32,2.00,0.00,5333.00,1794.00,27.00,1732.00,167.00,1613.00
2021,11,OO,SkyWest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",5829.00,712.00,462.00,12.00,8.00,0.00,230.00,30.00,1.00,67829.00,40732.00,491.00,923.00,0.00,25683.00
2021,11,QX,Horizon Air,ORD,"Chicago, IL: Chicago O'Hare International",26.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,44.00,0.00,0.00,16.00,0.00,28.00
2021,11,UA,United Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4719.00,492.00,214.44,6.14,121.96,0.00,149.45,31.00,2.00,31365.00,13833.00,312.00,3376.00,0.00,13844.00
2021,11,WN,Southwest Airlines Co.,ORD,"Chicago, IL: Chicago O'Hare International",780.00,257.00,97.26,0.57,100.28,1.53,57.36,5.00,0.00,10337.00,4401.00,18.00,3434.00,96.00,2388.00
2021,11,YV,Mesa Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",439.00,53.00,29.00,0.00,10.00,0.00,14.00,1.00,1.00,4216.00,3176.00,0.00,187.00,0.00,853.00
2021,11,YX,Republic Airline,ORD,"Chicago, IL: Chicago O'Hare International",1061.00,86.00,26.92,1.42,36.07,1.63,19.96,0.00,3.00,4445.00,1974.00,55.00,847.00,101.00,1468.00
2021,10,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",52.00,10.00,3.89,0.00,6.11,0.00,0.00,0.00,0.00,751.00,295.00,0.00,456.00,0.00,0.00
2021,10,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4728.00,822.00,288.48,27.80,262.25,2.37,241.10,191.00,8.00,71209.00,30805.00,2640.00,17229.00,69.00,20466.00
2021,10,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",235.00,38.00,12.65,0.00,18.33,0.00,7.01,2.00,0.00,1807.00,585.00,0.00,1003.00,0.00,219.00
2021,10,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",111.00,22.00,8.22,0.00,10.85,0.63,2.29,0.00,0.00,1779.00,643.00,0.00,931.00,12.00,193.00
2021,10,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",951.00,206.00,82.36,5.15,90.88,0.00,27.61,0.00,2.00,15373.00,7440.00,517.00,5887.00,0.00,1529.00
2021,10,F9,Frontier Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",213.00,57.00,16.79,0.76,23.50,0.00,15.95,1.00,0.00,3080.00,852.00,25.00,1118.00,0.00,1085.00
2021,10,MQ,Envoy Air,ORD,"Chicago, IL: Chicago O'Hare International",4070.00,568.00,124.95,37.91,226.45,0.83,177.86,96.00,6.00,40294.00,9465.00,4543.00,15564.00,35.00,10687.00
2021,10,NK,Spirit Air Lines,ORD,"Chicago, IL: Chicago O'Hare International",548.00,137.00,32.38,8.16,68.12,1.96,26.38,9.00,0.00,10948.00,3274.00,649.00,4136.00,63.00,2826.00
2021,10,OO,SkyWest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4912.00,1004.00,474.00,56.00,129.00,2.00,343.00,256.00,9.00,107346.00,52305.00,7385.00,13985.00,113.00,33558.00
2021,10,QX,Horizon Air,ORD,"Chicago, IL: Chicago O'Hare International",28.00,8.00,1.20,0.37,6.43,0.00,0.00,0.00,0.00,268.00,21.00,7.00,240.00,0.00,0.00
2021,10,UA,United Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",5859.00,849.00,259.46,21.60,346.96,0.00,220.98,37.00,4.00,63796.00,17597.00,1838.00,23441.00,0.00,20920.00
2021,10,WN,Southwest Airlines Co.,ORD,"Chicago, IL: Chicago O'Hare International",791.00,371.00,116.59,2.71,161.11,2.00,88.59,42.00,4.00,20643.00,7677.00,312.00,7298.00,67.00,5289.00
2021,10,YV,Mesa Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",166.00,36.00,11.00,7.00,6.00,0.00,12.00,3.00,0.00,2448.00,883.00,479.00,166.00,0.00,920.00
2021,10,YX,Republic Airline,ORD,"Chicago, IL: Chicago O'Hare International",2620.00,406.00,83.06,12.28,217.71,1.26,91.69,48.00,3.00,26868.00,6951.00,1379.00,12038.00,64.00,6436.00
2021,9,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",81.00,3.00,0.95,0.00,2.03,0.00,0.02,0.00,1.00,544.00,40.00,0.00,499.00,0.00,5.00
2021,9,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4395.00,474.00,168.43,29.98,145.00,2.00,128.59,43.00,12.00,38821.00,14156.00,2682.00,9198.00,45.00,12740.00
2021,9,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",242.00,19.00,4.91,0.00,8.98,0.00,5.11,1.00,0.00,759.00,242.00,0.00,324.00,0.00,193.00
2021,9,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",106.00,15.00,8.34,0.00,4.30,0.00,2.36,1.00,0.00,1358.00,658.00,0.00,395.00,0.00,305.00
2021,9,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",697.00,115.00,53.45,0.95,43.63,0.19,16.79,5.00,2.00,7052.00,3503.00,86.00,2386.00,59.00,1018.00
2021,9,F9,Frontier Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",236.00,54.00,15.43,0.86,16.89,0.00,20.82,3.00,1.00,3948.00,1892.00,41.00,869.00,0.00,1146.00
2021,9,MQ,Envoy Air,ORD,"Chicago, IL: Chicago O'Hare International",3696.00,339.00,83.11,24.89,127.01,0.18,103.81,32.00,14.00,29489.00,11268.00,3301.00,8113.00,17.00,6790.00
2021,9,NK,Spirit Air Lines,ORD,"Chicago, IL: Chicago O'Hare International",554.00,128.00,29.53,4.78,50.75,4.94,38.00,8.00,3.00,8309.00,1905.00,321.00,2878.00,272.00,2933.00
2021,9,OO,SkyWest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4207.00,576.00,289.00,16.00,46.00,2.00,223.00,41.00,3.00,60340.00,24736.00,2143.00,6276.00,119.00,27066.00
2021,9,QX,Horizon Air,ORD,"Chicago, IL: Chicago O'Hare International",30.00,3.00,1.00,0.00,1.84,0.00,0.16,1.00,0.00,140.00,54.00,0.00,76.00,0.00,10.00
2021,9,UA,United Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",5356.00,562.00,167.06,18.41,192.03,0.00,184.50,48.00,4.00,46393.00,13029.00,1394.00,13116.00,0.00,18854.00
2021,9,WN,Southwest Airlines Co.,ORD,"Chicago, IL: Chicago O'Hare International",699.00,176.00,67.62,1.51,56.18,0.00,50.69,17.00,3.00,9416.00,4095.00,92.00,2197.00,0.00,3032.00
2021,9,YX,Republic Airline,ORD,"Chicago, IL: Chicago O'Hare International",3679.00,402.00,115.73,9.48,167.64,0.93,108.21,46.00,10.00,26199.00,7427.00,1704.00,9699.00,22.00,7347.00
2021,8,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",163.00,28.00,8.01,0.46,18.86,0.00,0.67,0.00,1.00,3107.00,671.00,27.00,2368.00,0.00,41.00
2021,8,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4830.00,956.00,284.62,63.06,287.03,4.37,316.91,296.00,67.00,90038.00,27830.00,8279.00,21633.00,178.00,32118.00
2021,8,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",257.00,60.00,21.56,1.59,28.40,0.00,8.46,0.00,2.00,3495.00,1067.00,309.00,1776.00,0.00,343.00
