year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,PHL,"Philadelphia, PA: Philadelphia International",48.00,4.00,1.94,0.10,1.00,0.00,0.95,0.00,0.00,414.00,101.00,7.00,68.00,0.00,238.00
2021,12,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",2494.00,323.00,127.60,3.90,53.90,5.24,132.36,11.00,1.00,25261.00,10777.00,175.00,1846.00,248.00,12215.00
2021,12,AS,Alaska Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",31.00,4.00,0.96,1.57,0.47,0.00,1.00,3.00,0.00,187.00,25.00,95.00,48.00,0.00,19.00
2021,12,B6,JetBlue Airways,PHL,"Philadelphia, PA: Philadelphia International",110.00,20.00,11.37,0.00,2.35,0.00,6.28,6.00,0.00,1393.00,759.00,0.00,81.00,0.00,553.00
2021,12,DL,Delta Air Lines Inc.,PHL,"Philadelphia, PA: Philadelphia International",344.00,44.00,26.32,2.10,11.83,0.00,3.74,4.00,1.00,2797.00,1761.00,254.00,520.00,0.00,262.00
2021,12,F9,Frontier Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",585.00,156.00,51.83,0.00,31.21,0.00,72.96,6.00,0.00,13217.00,5387.00,0.00,1674.00,0.00,6156.00
2021,12,NK,Spirit Air Lines,PHL,"Philadelphia, PA: Philadelphia International",364.00,78.00,28.76,0.00,24.79,2.30,22.15,27.00,0.00,4624.00,1674.00,0.00,1263.00,60.00,1627.00
2021,12,OH,PSA Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",1351.00,196.00,58.72,8.69,45.38,0.00,83.20,8.00,1.00,16962.00,5940.00,699.00,1454.00,0.00,8869.00
2021,12,OO,SkyWest Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",75.00,18.00,13.00,4.00,1.00,0.00,0.00,3.00,0.00,1048.00,823.00,191.00,34.00,0.00,0.00
2021,12,UA,United Air Lines Inc.,PHL,"Philadelphia, PA: Philadelphia International",326.00,57.00,29.46,3.00,4.20,0.00,20.34,8.00,1.00,3471.00,1372.00,70.00,192.00,0.00,1837.00
