year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4247.00,592.00,239.92,12.12,159.64,8.51,171.80,18.00,13.00,37745.00,18311.00,1072.00,4983.00,324.00,13055.00
2021,12,AS,Alaska Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",263.00,75.00,26.97,5.73,26.32,0.00,15.98,12.00,0.00,4783.00,1396.00,1198.00,1120.00,0.00,1069.00
2021,12,B6,JetBlue Airways,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",104.00,48.00,25.07,0.00,12.99,0.00,9.94,2.00,2.00,3183.00,1742.00,0.00,737.00,0.00,704.00
2021,12,DL,Delta Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",771.00,225.00,82.21,11.94,89.21,0.00,41.65,32.00,1.00,15551.00,6572.00,1673.00,4470.00,0.00,2836.00
2021,12,F9,Frontier Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",398.00,109.00,36.63,0.00,33.12,0.00,39.25,2.00,0.00,6921.00,2609.00,0.00,1434.00,0.00,2878.00
2021,12,G4,Allegiant Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",15.00,8.00,0.90,0.00,0.66,0.44,6.00,4.00,0.00,388.00,46.00,0.00,30.00,7.00,305.00
2021,12,HA,Hawaiian Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",31.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,358.00,358.00,0.00,0.00,0.00,0.00
2021,12,MQ,Envoy Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",30.00,4.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,395.00,156.00,192.00,15.00,0.00,32.00
2021,12,NK,Spirit Air Lines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",154.00,67.00,16.68,0.50,40.39,0.00,9.43,8.00,0.00,3174.00,1023.00,14.00,1739.00,0.00,398.00
2021,12,OO,SkyWest Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1642.00,360.00,141.00,36.00,1.00,0.00,182.00,46.00,0.00,30670.00,12912.00,2781.00,106.00,0.00,14871.00
2021,12,QX,Horizon Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",31.00,7.00,2.17,2.79,2.04,0.00,0.00,0.00,0.00,454.00,139.00,187.00,128.00,0.00,0.00
2021,12,UA,United Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",792.00,172.00,79.66,2.31,35.70,0.34,53.99,23.00,0.00,10251.00,4079.00,177.00,1237.00,30.00,4728.00
2021,12,WN,Southwest Airlines Co.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4562.00,1337.00,473.36,5.91,262.74,5.02,589.97,43.00,3.00,65949.00,22401.00,539.00,9592.00,331.00,33086.00
2021,12,YV,Mesa Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1185.00,269.00,63.05,8.15,26.73,0.79,170.28,103.00,3.00,27832.00,10602.00,693.00,958.00,13.00,15566.00
2021,11,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4503.00,487.00,191.32,3.83,57.19,4.25,230.41,96.00,7.00,43431.00,19788.00,694.00,2151.00,134.00,20664.00
2021,11,AS,Alaska Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",292.00,52.00,20.68,0.00,12.90,0.00,18.43,2.00,0.00,2762.00,1210.00,0.00,421.00,0.00,1131.00
2021,11,B6,JetBlue Airways,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",100.00,13.00,7.54,0.00,3.42,0.00,2.04,0.00,0.00,943.00,642.00,0.00,82.00,0.00,219.00
2021,11,DL,Delta Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",745.00,61.00,34.67,3.00,9.67,1.00,12.66,0.00,2.00,3142.00,2070.00,152.00,333.00,41.00,546.00
2021,11,F9,Frontier Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",390.00,54.00,20.24,0.00,13.21,0.00,20.55,0.00,0.00,2907.00,987.00,0.00,459.00,0.00,1461.00
2021,11,G4,Allegiant Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",19.00,5.00,3.43,0.00,0.08,0.00,1.49,1.00,0.00,237.00,125.00,0.00,4.00,0.00,108.00
2021,11,HA,Hawaiian Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",30.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,52.00,0.00,0.00,0.00,0.00
2021,11,MQ,Envoy Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",65.00,4.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,703.00,627.00,0.00,76.00,0.00,0.00
2021,11,NK,Spirit Air Lines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",120.00,24.00,6.68,0.00,14.62,0.90,1.80,2.00,0.00,929.00,266.00,0.00,485.00,18.00,160.00
2021,11,OO,SkyWest Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1704.00,219.00,92.00,16.00,2.00,1.00,108.00,6.00,0.00,21991.00,9515.00,1692.00,134.00,36.00,10614.00
2021,11,QX,Horizon Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",72.00,10.00,7.98,0.00,1.13,0.00,0.89,0.00,0.00,745.00,675.00,0.00,30.00,0.00,40.00
2021,11,UA,United Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",761.00,68.00,30.85,0.00,6.80,0.00,30.35,4.00,0.00,4112.00,1310.00,0.00,211.00,0.00,2591.00
2021,11,WN,Southwest Airlines Co.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4579.00,803.00,329.63,3.11,80.59,8.97,380.70,53.00,12.00,38489.00,16202.00,272.00,2855.00,522.00,18638.00
2021,11,YV,Mesa Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1308.00,280.00,60.27,2.95,18.67,1.05,197.06,50.00,0.00,23698.00,5674.00,399.00,833.00,34.00,16758.00
2021,10,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4194.00,666.00,262.54,11.54,143.64,2.43,245.86,113.00,5.00,56909.00,25552.00,907.00,5313.00,127.00,25010.00
2021,10,AS,Alaska Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",334.00,79.00,28.83,0.96,32.39,0.00,16.83,1.00,0.00,3315.00,1600.00,49.00,980.00,0.00,686.00
2021,10,B6,JetBlue Airways,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",132.00,41.00,16.06,0.00,10.65,0.97,13.33,1.00,1.00,2217.00,877.00,0.00,394.00,28.00,918.00
2021,10,DL,Delta Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",787.00,123.00,54.58,0.94,44.88,0.00,22.59,0.00,0.00,6938.00,4366.00,169.00,1165.00,0.00,1238.00
2021,10,F9,Frontier Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",425.00,82.00,18.94,1.06,20.51,0.00,41.49,1.00,0.00,4658.00,751.00,78.00,797.00,0.00,3032.00
2021,10,G4,Allegiant Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",12.00,2.00,0.00,0.00,1.15,0.00,0.85,0.00,0.00,84.00,0.00,0.00,37.00,0.00,47.00
2021,10,HA,Hawaiian Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",31.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,127.00,127.00,0.00,0.00,0.00,0.00
2021,10,MQ,Envoy Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",251.00,36.00,11.07,1.17,13.36,0.00,10.40,0.00,1.00,1727.00,618.00,84.00,504.00,0.00,521.00
2021,10,NK,Spirit Air Lines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",69.00,8.00,2.78,0.24,4.03,0.00,0.94,1.00,0.00,547.00,120.00,20.00,330.00,0.00,77.00
