year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International",648.00,113.00,48.77,0.49,36.82,0.49,26.44,0.00,1.00,4632.00,2105.00,18.00,1129.00,14.00,1366.00
2021,12,AS,Alaska Airlines Inc.,SAN,"San Diego, CA: San Diego International",581.00,173.00,46.37,7.08,65.83,0.00,53.72,21.00,3.00,10809.00,2943.00,1296.00,2954.00,0.00,3616.00
2021,12,B6,JetBlue Airways,SAN,"San Diego, CA: San Diego International",143.00,55.00,21.31,0.00,28.47,0.49,4.73,3.00,3.00,3151.00,1510.00,0.00,1101.00,29.00,511.00
2021,12,DL,Delta Air Lines Inc.,SAN,"San Diego, CA: San Diego International",606.00,159.00,63.12,10.60,67.40,0.00,17.89,24.00,4.00,11644.00,5459.00,1892.00,2678.00,0.00,1615.00
2021,12,F9,Frontier Airlines Inc.,SAN,"San Diego, CA: San Diego International",155.00,35.00,15.05,0.64,12.07,0.00,7.24,2.00,0.00,1901.00,641.00,63.00,556.00,0.00,641.00
2021,12,HA,Hawaiian Airlines Inc.,SAN,"San Diego, CA: San Diego International",62.00,13.00,8.68,0.70,0.00,0.00,3.63,0.00,0.00,564.00,397.00,16.00,0.00,0.00,151.00
2021,12,NK,Spirit Air Lines,SAN,"San Diego, CA: San Diego International",56.00,19.00,6.91,0.00,4.31,0.00,7.78,3.00,0.00,930.00,302.00,0.00,170.00,0.00,458.00
2021,12,OO,SkyWest Airlines Inc.,SAN,"San Diego, CA: San Diego International",611.00,157.00,76.00,10.00,2.00,0.00,69.00,11.00,1.00,12108.00,4419.00,975.00,79.00,0.00,6635.00
2021,12,QX,Horizon Air,SAN,"San Diego, CA: San Diego International",215.00,40.00,13.43,2.17,8.16,0.00,16.24,5.00,0.00,1841.00,774.00,66.00,225.00,0.00,776.00
2021,12,UA,United Air Lines Inc.,SAN,"San Diego, CA: San Diego International",708.00,184.00,74.96,1.75,47.94,0.00,59.35,13.00,6.00,10513.00,4227.00,147.00,1775.00,0.00,4364.00
2021,12,WN,Southwest Airlines Co.,SAN,"San Diego, CA: San Diego International",1922.00,630.00,269.77,1.48,67.56,1.11,290.07,26.00,4.00,30391.00,11803.00,116.00,2421.00,31.00,16020.00
2021,11,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International",659.00,88.00,42.25,1.00,7.30,3.12,34.32,10.00,8.00,7838.00,3336.00,505.00,258.00,131.00,3608.00
2021,11,AS,Alaska Airlines Inc.,SAN,"San Diego, CA: San Diego International",590.00,99.00,31.59,0.00,30.39,0.00,37.02,19.00,9.00,3767.00,1278.00,0.00,738.00,0.00,1751.00
2021,11,B6,JetBlue Airways,SAN,"San Diego, CA: San Diego International",115.00,12.00,8.33,0.00,1.95,0.44,1.29,0.00,1.00,751.00,515.00,0.00,49.00,76.00,111.00
2021,11,DL,Delta Air Lines Inc.,SAN,"San Diego, CA: San Diego International",581.00,53.00,28.54,1.03,15.59,2.00,5.85,0.00,4.00,2535.00,1211.00,454.00,510.00,146.00,214.00
2021,11,F9,Frontier Airlines Inc.,SAN,"San Diego, CA: San Diego International",152.00,15.00,4.27,3.98,3.83,0.00,2.93,0.00,0.00,3184.00,304.00,2531.00,128.00,0.00,221.00
2021,11,HA,Hawaiian Airlines Inc.,SAN,"San Diego, CA: San Diego International",60.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,2.00,212.00,212.00,0.00,0.00,0.00,0.00
2021,11,NK,Spirit Air Lines,SAN,"San Diego, CA: San Diego International",64.00,9.00,3.64,0.00,1.05,0.00,4.31,1.00,0.00,372.00,138.00,0.00,32.00,0.00,202.00
2021,11,OO,SkyWest Airlines Inc.,SAN,"San Diego, CA: San Diego International",699.00,105.00,38.00,6.00,2.00,0.00,59.00,16.00,2.00,8015.00,2246.00,790.00,582.00,0.00,4397.00
2021,11,QX,Horizon Air,SAN,"San Diego, CA: San Diego International",153.00,15.00,4.36,0.35,7.62,0.00,2.67,4.00,2.00,791.00,324.00,9.00,274.00,0.00,184.00
2021,11,UA,United Air Lines Inc.,SAN,"San Diego, CA: San Diego International",713.00,73.00,36.63,1.00,13.20,0.00,22.17,3.00,7.00,3986.00,1254.00,807.00,347.00,0.00,1578.00
2021,11,WN,Southwest Airlines Co.,SAN,"San Diego, CA: San Diego International",1980.00,373.00,160.51,3.89,30.29,3.77,174.54,24.00,16.00,16683.00,6662.00,184.00,836.00,159.00,8842.00
2021,10,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International",717.00,136.00,62.24,3.16,33.49,0.00,37.10,29.00,5.00,7595.00,3616.00,215.00,1299.00,0.00,2465.00
2021,10,AS,Alaska Airlines Inc.,SAN,"San Diego, CA: San Diego International",592.00,96.00,30.89,0.19,42.48,0.00,22.44,4.00,1.00,3374.00,1170.00,11.00,1284.00,0.00,909.00
2021,10,B6,JetBlue Airways,SAN,"San Diego, CA: San Diego International",170.00,21.00,12.56,0.65,6.24,0.64,0.91,0.00,0.00,995.00,679.00,13.00,209.00,25.00,69.00
2021,10,DL,Delta Air Lines Inc.,SAN,"San Diego, CA: San Diego International",643.00,94.00,54.21,1.32,24.35,0.00,14.12,0.00,4.00,6230.00,4615.00,49.00,758.00,0.00,808.00
2021,10,F9,Frontier Airlines Inc.,SAN,"San Diego, CA: San Diego International",177.00,27.00,12.63,0.15,8.07,0.00,6.15,0.00,0.00,1380.00,633.00,9.00,308.00,0.00,430.00
2021,10,G4,Allegiant Air,SAN,"San Diego, CA: San Diego International",10.00,4.00,2.25,0.00,0.27,0.00,1.48,0.00,0.00,303.00,183.00,0.00,10.00,0.00,110.00
2021,10,HA,Hawaiian Airlines Inc.,SAN,"San Diego, CA: San Diego International",63.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,219.00,219.00,0.00,0.00,0.00,0.00
2021,10,NK,Spirit Air Lines,SAN,"San Diego, CA: San Diego International",76.00,10.00,1.28,0.00,5.69,0.00,3.03,1.00,1.00,898.00,135.00,0.00,506.00,0.00,257.00
2021,10,OO,SkyWest Airlines Inc.,SAN,"San Diego, CA: San Diego International",823.00,129.00,57.00,6.00,4.00,1.00,61.00,38.00,0.00,10700.00,5993.00,1110.00,180.00,22.00,3395.00
2021,10,QX,Horizon Air,SAN,"San Diego, CA: San Diego International",158.00,16.00,4.90,0.00,8.00,0.00,3.11,1.00,0.00,537.00,176.00,0.00,241.00,0.00,120.00
2021,10,UA,United Air Lines Inc.,SAN,"San Diego, CA: San Diego International",734.00,98.00,36.79,4.56,29.32,0.00,27.33,1.00,0.00,5584.00,1560.00,353.00,1060.00,0.00,2611.00
2021,10,WN,Southwest Airlines Co.,SAN,"San Diego, CA: San Diego International",2234.00,681.00,291.07,1.98,52.31,1.79,333.86,48.00,3.00,33913.00,13457.00,125.00,2254.00,85.00,17992.00
2021,9,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International",662.00,79.00,38.04,4.85,20.09,0.00,16.02,3.00,1.00,3983.00,1869.00,274.00,641.00,0.00,1199.00
2021,9,AS,Alaska Airlines Inc.,SAN,"San Diego, CA: San Diego International",589.00,75.00,29.77,2.85,19.92,0.00,22.46,2.00,0.00,4604.00,2141.00,419.00,689.00,0.00,1355.00
2021,9,B6,JetBlue Airways,SAN,"San Diego, CA: San Diego International",169.00,17.00,7.70,0.00,3.05,0.15,6.09,2.00,0.00,1357.00,528.00,0.00,156.00,4.00,669.00
