year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",492.00,104.00,43.31,0.87,32.47,0.71,26.64,0.00,4.00,5733.00,2234.00,38.00,1656.00,20.00,1785.00
2021,12,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",5098.00,1425.00,341.20,32.41,599.39,8.38,443.62,383.00,26.00,83952.00,22840.00,4135.00,26829.00,262.00,29886.00
2021,12,B6,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",75.00,36.00,9.02,0.39,23.36,0.04,3.20,4.00,0.00,1976.00,588.00,69.00,959.00,3.00,357.00
2021,12,DL,Delta Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",2389.00,503.00,194.09,10.33,172.91,0.00,125.66,188.00,8.00,46947.00,21017.00,1502.00,9240.00,0.00,15188.00
2021,12,F9,Frontier Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",40.00,9.00,3.33,0.00,4.67,0.00,1.00,0.00,0.00,805.00,150.00,0.00,617.00,0.00,38.00
2021,12,HA,Hawaiian Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",78.00,35.00,30.30,0.85,0.00,0.00,3.85,0.00,0.00,2052.00,1451.00,28.00,0.00,0.00,573.00
2021,12,NK,Spirit Air Lines,SEA,"Seattle, WA: Seattle/Tacoma International",54.00,13.00,2.59,0.00,4.80,0.00,5.61,1.00,0.00,901.00,241.00,0.00,363.00,0.00,297.00
2021,12,OO,SkyWest Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",1532.00,283.00,169.00,71.00,7.00,0.00,36.00,168.00,4.00,26576.00,13677.00,9551.00,384.00,0.00,2964.00
2021,12,QX,Horizon Air,SEA,"Seattle, WA: Seattle/Tacoma International",2283.00,576.00,127.49,58.31,216.62,0.16,173.41,157.00,3.00,41762.00,11053.00,5448.00,10437.00,4.00,14820.00
2021,12,UA,United Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",624.00,165.00,77.04,0.00,47.50,0.00,40.46,24.00,2.00,8433.00,3764.00,0.00,1813.00,0.00,2856.00
2021,12,WN,Southwest Airlines Co.,SEA,"Seattle, WA: Seattle/Tacoma International",501.00,193.00,96.46,1.00,20.60,1.37,73.57,6.00,2.00,9623.00,4341.00,24.00,912.00,26.00,4320.00
2021,11,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",501.00,92.00,44.01,0.58,25.73,0.21,21.48,7.00,2.00,4658.00,2059.00,15.00,738.00,19.00,1827.00
2021,11,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",5317.00,1019.00,270.77,17.03,475.82,5.63,249.76,72.00,14.00,44662.00,14457.00,851.00,14315.00,185.00,14854.00
2021,11,B6,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",73.00,15.00,8.32,0.00,6.68,0.00,0.00,0.00,0.00,677.00,516.00,0.00,161.00,0.00,0.00
2021,11,DL,Delta Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",2323.00,272.00,126.04,3.70,85.76,3.00,53.50,0.00,3.00,18725.00,12763.00,346.00,2174.00,127.00,3315.00
2021,11,F9,Frontier Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",39.00,4.00,0.96,0.00,2.20,0.00,0.84,0.00,0.00,227.00,21.00,0.00,78.00,0.00,128.00
2021,11,HA,Hawaiian Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",66.00,3.00,2.91,0.00,0.00,0.00,0.09,0.00,1.00,94.00,89.00,0.00,0.00,0.00,5.00
2021,11,NK,Spirit Air Lines,SEA,"Seattle, WA: Seattle/Tacoma International",60.00,10.00,5.26,0.00,2.73,0.06,1.95,0.00,0.00,721.00,309.00,0.00,103.00,7.00,302.00
2021,11,OO,SkyWest Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",1565.00,146.00,106.00,24.00,3.00,0.00,13.00,3.00,3.00,8021.00,5808.00,1265.00,87.00,0.00,861.00
2021,11,QX,Horizon Air,SEA,"Seattle, WA: Seattle/Tacoma International",2304.00,244.00,60.47,9.98,89.68,0.00,83.87,10.00,6.00,12812.00,3942.00,498.00,2703.00,0.00,5669.00
2021,11,UA,United Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",674.00,87.00,40.65,0.00,24.41,0.00,21.95,1.00,4.00,4059.00,1675.00,0.00,741.00,0.00,1643.00
2021,11,WN,Southwest Airlines Co.,SEA,"Seattle, WA: Seattle/Tacoma International",559.00,126.00,60.11,0.00,16.86,0.00,49.03,3.00,1.00,5042.00,2304.00,0.00,481.00,0.00,2257.00
2021,10,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",602.00,142.00,63.60,0.52,37.42,0.38,40.08,26.00,2.00,9268.00,4701.00,28.00,1422.00,6.00,3111.00
2021,10,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",5953.00,950.00,253.25,15.63,428.36,3.16,249.60,60.00,8.00,43942.00,14322.00,840.00,13355.00,96.00,15329.00
