year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",730.00,170.00,56.55,0.93,89.93,0.19,22.39,2.00,5.00,8295.00,3415.00,42.00,2867.00,21.00,1950.00
2021,12,AS,Alaska Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",988.00,260.00,65.37,6.38,112.45,5.22,70.59,55.00,5.00,15472.00,4671.00,452.00,4125.00,325.00,5899.00
2021,12,B6,JetBlue Airways,SFO,"San Francisco, CA: San Francisco International",417.00,123.00,50.87,1.04,56.02,2.41,12.66,13.00,7.00,6663.00,3347.00,88.00,2106.00,133.00,989.00
2021,12,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",772.00,228.00,93.58,14.84,92.24,0.77,26.57,16.00,1.00,12776.00,6046.00,1124.00,3430.00,60.00,2116.00
2021,12,F9,Frontier Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",165.00,37.00,10.42,0.00,15.08,0.00,11.50,3.00,0.00,2044.00,503.00,0.00,642.00,0.00,899.00
2021,12,HA,Hawaiian Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",68.00,7.00,6.44,0.00,0.00,0.00,0.56,1.00,0.00,416.00,396.00,0.00,0.00,0.00,20.00
2021,12,OO,SkyWest Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",2891.00,762.00,478.00,59.00,44.00,1.00,180.00,125.00,3.00,60428.00,37157.00,5491.00,3070.00,15.00,14695.00
2021,12,QX,Horizon Air,SFO,"San Francisco, CA: San Francisco International",168.00,44.00,11.92,0.50,18.77,0.00,12.81,5.00,1.00,2243.00,786.00,38.00,689.00,0.00,730.00
2021,12,UA,United Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",3276.00,791.00,371.46,9.43,219.74,1.00,189.37,86.00,14.00,46605.00,21418.00,702.00,7974.00,32.00,16479.00
2021,12,WN,Southwest Airlines Co.,SFO,"San Francisco, CA: San Francisco International",589.00,204.00,77.43,0.00,20.73,0.00,105.85,9.00,0.00,11318.00,4395.00,0.00,926.00,0.00,5997.00
2021,11,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",776.00,109.00,41.09,2.00,20.06,2.20,43.64,17.00,0.00,7154.00,2927.00,220.00,552.00,64.00,3391.00
2021,11,AS,Alaska Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",829.00,129.00,37.22,0.02,37.85,0.00,53.92,15.00,1.00,8555.00,3057.00,1.00,1533.00,0.00,3964.00
2021,11,B6,JetBlue Airways,SFO,"San Francisco, CA: San Francisco International",394.00,43.00,30.96,0.76,7.53,0.00,3.75,0.00,0.00,2060.00,1431.00,13.00,225.00,0.00,391.00
2021,11,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",806.00,86.00,50.65,1.00,24.75,0.90,8.71,0.00,1.00,5315.00,3997.00,18.00,696.00,112.00,492.00
2021,11,F9,Frontier Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",157.00,20.00,7.54,0.00,4.15,0.00,8.31,0.00,0.00,1076.00,454.00,0.00,194.00,0.00,428.00
2021,11,HA,Hawaiian Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",60.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,414.00,414.00,0.00,0.00,0.00,0.00
2021,11,OO,SkyWest Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",2814.00,386.00,208.00,33.00,21.00,0.00,124.00,41.00,14.00,34578.00,22542.00,2097.00,1533.00,0.00,8406.00
2021,11,QX,Horizon Air,SFO,"San Francisco, CA: San Francisco International",266.00,24.00,2.10,1.00,8.78,0.00,12.12,2.00,0.00,1552.00,100.00,127.00,345.00,0.00,980.00
