year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",298.00,72.00,31.07,0.36,25.63,0.00,14.94,1.00,1.00,4261.00,2225.00,22.00,827.00,0.00,1187.00
2021,12,AS,Alaska Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",92.00,28.00,9.54,2.17,10.01,0.00,6.29,8.00,1.00,1652.00,519.00,418.00,459.00,0.00,256.00
2021,12,B6,JetBlue Airways,SLC,"Salt Lake City, UT: Salt Lake City International",132.00,64.00,35.34,0.67,17.49,1.59,8.92,3.00,5.00,4820.00,3219.00,26.00,776.00,31.00,768.00
2021,12,DL,Delta Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",4086.00,965.00,319.68,34.42,285.52,0.00,325.38,103.00,11.00,84650.00,36064.00,4716.00,11899.00,0.00,31971.00
2021,12,F9,Frontier Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",110.00,26.00,9.59,0.00,3.95,0.00,12.46,5.00,0.00,1416.00,465.00,0.00,193.00,0.00,758.00
2021,12,MQ,Envoy Air,SLC,"Salt Lake City, UT: Salt Lake City International",28.00,8.00,0.43,0.00,6.61,0.00,0.96,0.00,0.00,276.00,16.00,0.00,187.00,0.00,73.00
2021,12,OO,SkyWest Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",3615.00,802.00,507.00,226.00,9.00,0.00,60.00,124.00,9.00,73793.00,38962.00,27876.00,937.00,0.00,6018.00
2021,12,QX,Horizon Air,SLC,"Salt Lake City, UT: Salt Lake City International",15.00,11.00,4.51,1.62,1.99,0.00,2.88,0.00,0.00,924.00,392.00,80.00,60.00,0.00,392.00
2021,12,UA,United Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",111.00,35.00,17.16,0.96,8.44,0.00,8.44,6.00,0.00,2301.00,1030.00,185.00,331.00,0.00,755.00
2021,12,WN,Southwest Airlines Co.,SLC,"Salt Lake City, UT: Salt Lake City International",832.00,357.00,163.27,0.00,57.30,0.00,136.42,7.00,3.00,18256.00,7282.00,0.00,2572.00,0.00,8402.00
2021,12,YV,Mesa Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",14.00,2.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,164.00,164.00,0.00,0.00,0.00,0.00
2021,12,YX,Republic Airline,SLC,"Salt Lake City, UT: Salt Lake City International",6.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,30.00,0.00,0.00
2021,11,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",267.00,52.00,24.83,0.00,5.28,1.80,20.09,7.00,0.00,2401.00,1233.00,0.00,162.00,29.00,977.00
2021,11,AS,Alaska Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",94.00,18.00,5.24,0.00,2.49,0.00,10.26,4.00,0.00,805.00,338.00,0.00,107.00,0.00,360.00
2021,11,B6,JetBlue Airways,SLC,"Salt Lake City, UT: Salt Lake City International",120.00,24.00,13.96,0.33,1.99,0.00,7.73,0.00,0.00,1685.00,978.00,26.00,74.00,0.00,607.00
2021,11,DL,Delta Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",4127.00,329.00,141.09,5.43,74.53,1.00,106.96,1.00,1.00,24685.00,13001.00,404.00,2091.00,88.00,9101.00
2021,11,F9,Frontier Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",105.00,8.00,4.02,0.00,0.32,0.00,3.67,0.00,0.00,518.00,201.00,0.00,23.00,0.00,294.00
2021,11,MQ,Envoy Air,SLC,"Salt Lake City, UT: Salt Lake City International",22.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,15.00,0.00,0.00
2021,11,OO,SkyWest Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",3629.00,300.00,207.00,48.00,5.00,1.00,39.00,1.00,1.00,26977.00,19494.00,4732.00,113.00,19.00,2619.00
2021,11,QX,Horizon Air,SLC,"Salt Lake City, UT: Salt Lake City International",57.00,14.00,5.61,0.00,3.21,0.00,5.18,1.00,0.00,992.00,348.00,0.00,108.00,0.00,536.00
2021,11,UA,United Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",81.00,16.00,10.75,0.00,0.99,0.00,4.26,0.00,0.00,828.00,543.00,0.00,37.00,0.00,248.00
2021,11,WN,Southwest Airlines Co.,SLC,"Salt Lake City, UT: Salt Lake City International",849.00,176.00,91.79,0.17,15.12,0.76,68.16,2.00,0.00,7588.00,4074.00,25.00,405.00,13.00,3071.00
2021,11,YV,Mesa Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",1.00,1.00,0.73,0.00,0.27,0.00,0.00,0.00,0.00,48.00,35.00,0.00,13.00,0.00,0.00
2021,11,YX,Republic Airline,SLC,"Salt Lake City, UT: Salt Lake City International",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,10,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",416.00,101.00,40.77,1.26,26.09,0.15,32.72,26.00,0.00,7367.00,3063.00,97.00,1094.00,5.00,3108.00
2021,10,AS,Alaska Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",121.00,20.00,4.46,0.00,9.89,0.00,5.66,2.00,0.00,791.00,177.00,0.00,318.00,0.00,296.00
2021,10,B6,JetBlue Airways,SLC,"Salt Lake City, UT: Salt Lake City International",153.00,33.00,13.76,0.47,13.95,0.00,4.82,0.00,0.00,1573.00,884.00,17.00,504.00,0.00,168.00
2021,10,DL,Delta Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",4397.00,556.00,192.43,13.16,157.32,2.00,191.09,3.00,6.00,33358.00,13073.00,1680.00,4699.00,78.00,13828.00
2021,10,F9,Frontier Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",113.00,16.00,4.76,0.00,3.95,0.00,7.29,0.00,0.00,885.00,177.00,0.00,82.00,0.00,626.00
2021,10,MQ,Envoy Air,SLC,"Salt Lake City, UT: Salt Lake City International",55.00,16.00,6.24,0.33,2.31,0.00,7.12,0.00,0.00,685.00,190.00,11.00,46.00,0.00,438.00
2021,10,OO,SkyWest Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",4120.00,513.00,371.00,77.00,9.00,1.00,55.00,114.00,3.00,40298.00,28064.00,5822.00,597.00,24.00,5791.00
2021,10,QX,Horizon Air,SLC,"Salt Lake City, UT: Salt Lake City International",24.00,5.00,4.46,0.00,0.54,0.00,0.00,0.00,0.00,237.00,221.00,0.00,16.00,0.00,0.00
2021,10,UA,United Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",158.00,32.00,11.79,0.77,10.16,0.00,9.28,0.00,1.00,1429.00,439.00,51.00,266.00,0.00,673.00
2021,10,WN,Southwest Airlines Co.,SLC,"Salt Lake City, UT: Salt Lake City International",958.00,320.00,130.25,1.90,39.64,1.91,146.30,38.00,2.00,14703.00,6057.00,121.00,1354.00,194.00,6977.00
2021,10,YV,Mesa Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",56.00,15.00,4.55,0.00,8.67,0.00,1.78,0.00,0.00,753.00,268.00,0.00,209.00,0.00,276.00
2021,10,YX,Republic Airline,SLC,"Salt Lake City, UT: Salt Lake City International",7.00,1.00,0.00,0.00,0.15,0.00,0.85,0.00,0.00,102.00,0.00,0.00,15.00,0.00,87.00
2021,9,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",440.00,74.00,30.61,1.60,23.17,0.00,18.62,2.00,0.00,3990.00,1716.00,57.00,786.00,0.00,1431.00
2021,9,AS,Alaska Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",119.00,29.00,8.75,0.00,10.57,1.00,8.68,0.00,0.00,1219.00,440.00,0.00,367.00,81.00,331.00
2021,9,B6,JetBlue Airways,SLC,"Salt Lake City, UT: Salt Lake City International",179.00,34.00,18.88,0.91,10.20,0.00,4.01,5.00,0.00,1594.00,1007.00,31.00,350.00,0.00,206.00
2021,9,DL,Delta Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",4256.00,401.00,176.69,10.05,112.93,0.53,100.80,11.00,1.00,28242.00,16118.00,598.00,3386.00,26.00,8114.00
2021,9,F9,Frontier Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",159.00,31.00,12.59,0.00,10.12,0.00,8.28,1.00,0.00,1440.00,664.00,0.00,352.00,0.00,424.00
2021,9,MQ,Envoy Air,SLC,"Salt Lake City, UT: Salt Lake City International",37.00,3.00,0.30,0.00,1.06,0.00,1.63,0.00,0.00,165.00,21.00,0.00,21.00,0.00,123.00
2021,9,OO,SkyWest Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",4281.00,363.00,274.00,47.00,4.00,2.00,36.00,2.00,3.00,30745.00,24538.00,3487.00,682.00,130.00,1908.00
2021,9,QX,Horizon Air,SLC,"Salt Lake City, UT: Salt Lake City International",36.00,8.00,4.24,0.00,2.19,0.00,1.57,0.00,1.00,330.00,211.00,0.00,73.00,0.00,46.00
