year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",1112.00,204.00,93.54,2.04,37.85,2.65,67.91,4.00,1.00,12015.00,5687.00,166.00,1232.00,93.00,4837.00
2021,12,AS,Alaska Airlines Inc.,TPA,"Tampa, FL: Tampa International",118.00,45.00,12.42,2.68,20.93,0.00,8.97,6.00,0.00,2707.00,898.00,464.00,831.00,0.00,514.00
2021,12,B6,JetBlue Airways,TPA,"Tampa, FL: Tampa International",427.00,127.00,66.31,0.96,20.75,1.54,37.44,15.00,0.00,9206.00,4989.00,43.00,894.00,57.00,3223.00
2021,12,DL,Delta Air Lines Inc.,TPA,"Tampa, FL: Tampa International",1033.00,181.00,107.51,13.11,28.88,0.00,31.50,20.00,0.00,11748.00,7532.00,1219.00,1111.00,0.00,1886.00
2021,12,F9,Frontier Airlines Inc.,TPA,"Tampa, FL: Tampa International",527.00,112.00,33.98,0.08,29.63,0.00,48.31,3.00,0.00,9383.00,3160.00,4.00,1675.00,0.00,4544.00
2021,12,MQ,Envoy Air,TPA,"Tampa, FL: Tampa International",49.00,14.00,5.14,0.00,2.75,0.00,6.11,2.00,0.00,747.00,202.00,0.00,202.00,0.00,343.00
2021,12,NK,Spirit Air Lines,TPA,"Tampa, FL: Tampa International",770.00,167.00,52.12,1.71,60.51,1.53,51.13,31.00,0.00,8907.00,2873.00,127.00,2684.00,44.00,3179.00
2021,12,UA,United Air Lines Inc.,TPA,"Tampa, FL: Tampa International",818.00,171.00,86.29,0.00,27.82,1.00,55.89,24.00,0.00,11051.00,4847.00,0.00,1004.00,44.00,5156.00
2021,12,WN,Southwest Airlines Co.,TPA,"Tampa, FL: Tampa International",1918.00,509.00,211.78,1.01,52.71,0.78,242.72,13.00,1.00,26030.00,10059.00,116.00,1875.00,18.00,13962.00
2021,12,YX,Republic Airline,TPA,"Tampa, FL: Tampa International",93.00,19.00,4.16,3.00,7.00,0.00,4.84,0.00,0.00,731.00,238.00,76.00,234.00,0.00,183.00
2021,11,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",1162.00,207.00,89.63,2.69,41.86,1.96,70.86,20.00,0.00,10707.00,4758.00,79.00,1176.00,101.00,4593.00
2021,11,AS,Alaska Airlines Inc.,TPA,"Tampa, FL: Tampa International",79.00,12.00,5.27,0.00,5.86,0.00,0.87,0.00,0.00,529.00,363.00,0.00,146.00,0.00,20.00
2021,11,B6,JetBlue Airways,TPA,"Tampa, FL: Tampa International",329.00,108.00,57.66,2.20,26.18,0.45,21.51,0.00,1.00,5583.00,3299.00,76.00,916.00,13.00,1279.00
2021,11,DL,Delta Air Lines Inc.,TPA,"Tampa, FL: Tampa International",940.00,131.00,56.79,0.92,47.57,2.93,22.78,0.00,0.00,6872.00,3905.00,80.00,1381.00,130.00,1376.00
2021,11,F9,Frontier Airlines Inc.,TPA,"Tampa, FL: Tampa International",484.00,87.00,21.36,0.35,22.55,0.00,42.74,0.00,0.00,5432.00,1381.00,22.00,943.00,0.00,3086.00
2021,11,MQ,Envoy Air,TPA,"Tampa, FL: Tampa International",30.00,3.00,1.00,0.83,1.01,0.00,0.16,0.00,0.00,181.00,16.00,119.00,23.00,0.00,23.00
2021,11,NK,Spirit Air Lines,TPA,"Tampa, FL: Tampa International",616.00,122.00,45.39,1.00,49.45,1.38,24.78,3.00,0.00,6580.00,3320.00,29.00,1757.00,61.00,1413.00
2021,11,UA,United Air Lines Inc.,TPA,"Tampa, FL: Tampa International",760.00,120.00,50.64,1.86,25.10,0.00,42.40,4.00,0.00,7621.00,2536.00,110.00,769.00,0.00,4206.00
2021,11,WN,Southwest Airlines Co.,TPA,"Tampa, FL: Tampa International",1921.00,384.00,180.15,2.62,45.57,1.74,153.91,4.00,0.00,17541.00,7752.00,85.00,1683.00,76.00,7945.00
2021,11,YX,Republic Airline,TPA,"Tampa, FL: Tampa International",78.00,15.00,4.43,0.00,5.66,0.00,4.91,0.00,0.00,1092.00,378.00,0.00,183.00,0.00,531.00
2021,10,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",1068.00,212.00,102.58,2.93,34.01,1.80,70.67,53.00,3.00,13179.00,5905.00,289.00,1780.00,48.00,5157.00
2021,10,AS,Alaska Airlines Inc.,TPA,"Tampa, FL: Tampa International",62.00,14.00,3.32,0.00,6.94,0.00,3.74,0.00,0.00,417.00,96.00,0.00,207.00,0.00,114.00
2021,10,B6,JetBlue Airways,TPA,"Tampa, FL: Tampa International",362.00,79.00,49.92,0.94,15.12,0.00,13.03,1.00,1.00,5453.00,3388.00,116.00,837.00,0.00,1112.00
2021,10,DL,Delta Air Lines Inc.,TPA,"Tampa, FL: Tampa International",921.00,93.00,49.93,1.00,25.50,0.00,16.57,1.00,2.00,6295.00,4234.00,18.00,799.00,0.00,1244.00
2021,10,F9,Frontier Airlines Inc.,TPA,"Tampa, FL: Tampa International",397.00,59.00,18.61,1.38,11.54,0.00,27.46,3.00,0.00,4428.00,762.00,67.00,684.00,0.00,2915.00
2021,10,NK,Spirit Air Lines,TPA,"Tampa, FL: Tampa International",400.00,65.00,24.31,4.34,17.60,0.40,18.36,7.00,2.00,5255.00,2038.00,530.00,1091.00,13.00,1583.00
2021,10,UA,United Air Lines Inc.,TPA,"Tampa, FL: Tampa International",606.00,73.00,28.13,4.35,17.23,0.00,23.29,2.00,2.00,4670.00,1252.00,329.00,797.00,0.00,2292.00
2021,10,WN,Southwest Airlines Co.,TPA,"Tampa, FL: Tampa International",1845.00,421.00,181.62,4.03,31.92,2.00,201.43,95.00,4.00,22068.00,10192.00,216.00,1482.00,58.00,10120.00
2021,10,YX,Republic Airline,TPA,"Tampa, FL: Tampa International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,9,9E,Endeavor Air Inc.,TPA,"Tampa, FL: Tampa International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,9,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",894.00,123.00,51.39,4.15,37.32,0.00,30.14,5.00,2.00,6052.00,2356.00,305.00,1310.00,0.00,2081.00
2021,9,AS,Alaska Airlines Inc.,TPA,"Tampa, FL: Tampa International",60.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,34.00,19.00,0.00,15.00,0.00,0.00
2021,9,B6,JetBlue Airways,TPA,"Tampa, FL: Tampa International",372.00,85.00,44.71,2.67,20.22,0.00,17.41,6.00,1.00,6373.00,2974.00,704.00,877.00,0.00,1818.00
2021,9,DL,Delta Air Lines Inc.,TPA,"Tampa, FL: Tampa International",854.00,110.00,64.93,1.71,26.46,1.00,15.91,5.00,2.00,6636.00,3931.00,964.00,742.00,30.00,969.00
2021,9,F9,Frontier Airlines Inc.,TPA,"Tampa, FL: Tampa International",331.00,69.00,24.90,1.21,16.48,0.00,26.42,0.00,0.00,5862.00,2236.00,267.00,723.00,0.00,2636.00
2021,9,MQ,Envoy Air,TPA,"Tampa, FL: Tampa International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,9,NK,Spirit Air Lines,TPA,"Tampa, FL: Tampa International",417.00,70.00,29.10,2.58,20.00,2.45,15.88,6.00,0.00,3804.00,1890.00,99.00,925.00,139.00,751.00
2021,9,UA,United Air Lines Inc.,TPA,"Tampa, FL: Tampa International",523.00,65.00,27.22,2.71,16.80,0.00,18.27,9.00,0.00,4403.00,1365.00,273.00,771.00,0.00,1994.00
2021,9,WN,Southwest Airlines Co.,TPA,"Tampa, FL: Tampa International",1674.00,288.00,132.58,2.05,33.64,1.72,118.01,33.00,6.00,15429.00,7509.00,327.00,1263.00,76.00,6254.00
2021,9,YX,Republic Airline,TPA,"Tampa, FL: Tampa International",8.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,58.00,0.00,0.00,0.00,0.00
2021,8,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",993.00,265.00,110.91,18.54,68.01,4.02,63.52,36.00,6.00,15949.00,6354.00,2121.00,2676.00,163.00,4635.00
2021,8,AS,Alaska Airlines Inc.,TPA,"Tampa, FL: Tampa International",62.00,13.00,2.45,1.11,7.92,0.00,1.52,0.00,0.00,512.00,132.00,62.00,284.00,0.00,34.00
2021,8,B6,JetBlue Airways,TPA,"Tampa, FL: Tampa International",364.00,123.00,66.97,3.96,29.35,2.18,20.55,9.00,9.00,8735.00,4923.00,407.00,1556.00,153.00,1696.00
2021,8,DL,Delta Air Lines Inc.,TPA,"Tampa, FL: Tampa International",901.00,139.00,64.38,4.43,47.43,0.00,22.76,0.00,4.00,6579.00,3292.00,214.00,1858.00,0.00,1215.00
2021,8,F9,Frontier Airlines Inc.,TPA,"Tampa, FL: Tampa International",358.00,126.00,35.01,4.95,39.75,0.00,46.29,12.00,0.00,10142.00,3630.00,361.00,1808.00,0.00,4343.00
2021,8,MQ,Envoy Air,TPA,"Tampa, FL: Tampa International",16.00,9.00,2.01,1.08,3.13,0.00,2.78,0.00,1.00,409.00,67.00,59.00,101.00,0.00,182.00
2021,8,NK,Spirit Air Lines,TPA,"Tampa, FL: Tampa International",500.00,114.00,39.75,7.39,39.34,0.00,27.52,89.00,1.00,7938.00,3545.00,421.00,1888.00,0.00,2084.00
2021,8,UA,United Air Lines Inc.,TPA,"Tampa, FL: Tampa International",609.00,165.00,42.41,9.82,65.85,0.00,46.91,7.00,6.00,11668.00,2744.00,1765.00,2645.00,0.00,4514.00
2021,8,WN,Southwest Airlines Co.,TPA,"Tampa, FL: Tampa International",1976.00,549.00,217.85,9.28,91.36,2.61,227.89,72.00,14.00,30359.00,11655.00,696.00,3616.00,81.00,14311.00
2021,8,YX,Republic Airline,TPA,"Tampa, FL: Tampa International",22.00,7.00,1.44,0.07,2.30,0.00,3.19,0.00,0.00,282.00,53.00,3.00,91.00,0.00,135.00
2021,7,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",1011.00,301.00,110.21,18.70,67.61,1.55,102.93,26.00,5.00,19122.00,6331.00,1384.00,3047.00,84.00,8276.00
2021,7,AS,Alaska Airlines Inc.,TPA,"Tampa, FL: Tampa International",62.00,5.00,0.00,0.00,3.00,0.00,2.00,1.00,1.00,123.00,0.00,0.00,61.00,0.00,62.00
2021,7,B6,JetBlue Airways,TPA,"Tampa, FL: Tampa International",338.00,138.00,76.44,4.04,25.92,0.43,31.17,12.00,1.00,13948.00,8020.00,694.00,1278.00,26.00,3930.00
2021,7,DL,Delta Air Lines Inc.,TPA,"Tampa, FL: Tampa International",959.00,181.00,100.42,9.46,40.08,1.84,29.19,14.00,10.00,13325.00,8441.00,1076.00,1683.00,95.00,2030.00
2021,7,F9,Frontier Airlines Inc.,TPA,"Tampa, FL: Tampa International",363.00,147.00,41.01,3.09,42.54,0.00,60.35,25.00,0.00,11704.00,3729.00,194.00,2133.00,0.00,5648.00
2021,7,MQ,Envoy Air,TPA,"Tampa, FL: Tampa International",31.00,12.00,1.04,1.43,3.14,0.00,6.39,2.00,0.00,728.00,52.00,131.00,203.00,0.00,342.00
2021,7,NK,Spirit Air Lines,TPA,"Tampa, FL: Tampa International",499.00,181.00,63.81,7.42,49.07,0.00,60.70,16.00,2.00,14429.00,5637.00,416.00,3359.00,0.00,5017.00
2021,7,UA,United Air Lines Inc.,TPA,"Tampa, FL: Tampa International",626.00,156.00,34.92,13.65,58.32,2.00,47.11,23.00,3.00,10349.00,1678.00,2740.00,2155.00,99.00,3677.00
2021,7,WN,Southwest Airlines Co.,TPA,"Tampa, FL: Tampa International",2007.00,558.00,217.13,7.87,64.92,3.09,265.00,61.00,14.00,31307.00,11392.00,577.00,2714.00,84.00,16540.00
2021,7,YX,Republic Airline,TPA,"Tampa, FL: Tampa International",33.00,8.00,2.94,0.00,2.49,0.00,2.57,1.00,0.00,718.00,234.00,0.00,183.00,0.00,301.00
2021,6,9E,Endeavor Air Inc.,TPA,"Tampa, FL: Tampa International",4.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,147.00,0.00,0.00,0.00,0.00,147.00
2021,6,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",976.00,268.00,94.70,23.79,61.69,2.93,84.89,32.00,11.00,18997.00,6518.00,2430.00,3029.00,171.00,6849.00
2021,6,AS,Alaska Airlines Inc.,TPA,"Tampa, FL: Tampa International",60.00,11.00,1.87,0.00,7.62,0.00,1.52,1.00,0.00,347.00,51.00,0.00,192.00,0.00,104.00
